x y z
1.826 -0.133 13.855
-1.689 -0.937 10.534
-1.184 0.863 6.565
0.647 0.811 7.209
-0.615 1.073 13.104
-1.362 -0.433 5.025
-2.883 -2.122 9.932
0.201 -1.262 9.300
1.336 0.323 10.244
-1.220 0.008 9.520
-0.846 0.376 7.472
0.205 1.178 11.837
-0.885 0.018 9.654
-1.204 -0.598 7.117
0.656 -0.111 10.762
-1.447 -0.879 9.320
-1.910 -0.385 8.234
0.009 1.150 7.994
0.669 0.848 10.632
0.239 0.558 9.769
-1.708 -0.039 9.527
-1.284 -0.341 8.147
0.228 1.020 8.567
1.010 -0.373 10.429
-0.082 -0.492 6.599
-3.157 -0.976 12.739
-0.363 0.622 6.474
1.090 0.689 12.684
-0.400 -1.098 7.150
-2.183 -0.803 11.582
-0.742 1.254 9.662
1.028 1.200 9.720
-1.157 -0.598 13.016
-0.644 -0.579 3.450
-0.637 -0.309 11.393
-0.280 -0.207 9.664
-0.300 -0.460 8.024
0.535 -0.307 11.378
0.193 0.455 11.140
-1.050 0.918 10.039
-0.427 0.143 6.369
-0.440 -0.062 9.545
0.139 -0.830 12.340
0.185 -0.445 6.835
-1.062 -0.130 10.582
-0.010 0.482 12.705
-0.215 -0.134 9.935
-0.056 -0.151 6.260
0.008 -0.567 7.480
-0.210 0.729 13.861
-0.954 0.047 5.097
-1.385 0.205 13.312
0.422 -0.366 6.095
-0.859 -1.637 11.984
-1.286 -1.061 8.858
-1.225 0.507 7.874
-0.433 0.556 10.516
0.178 0.093 8.908
-0.432 0.612 9.546
-0.696 0.306 8.570
-0.562 0.960 8.709
-0.677 -0.517 12.234
-0.325 -0.257 4.974
-0.961 -0.379 11.728
-0.129 0.973 10.791
-0.403 0.085 7.134
-1.328 -0.312 10.112
-0.583 -0.101 9.443
0.791 1.667 11.164
-1.844 -0.165 10.566
-1.177 -0.649 8.701
1.570 0.693 10.093
1.122 0.227 10.042
-1.597 -0.584 9.008
-1.917 -0.086 8.218
-0.078 0.628 11.230
1.219 0.639 8.033
-0.491 -0.605 12.345
-1.163 -0.531 10.515
-0.938 0.085 7.636
-0.189 0.167 11.335
0.476 0.005 7.823
-1.622 -0.380 12.537
-0.906 -0.169 5.721
-0.888 0.051 11.800
1.195 -0.598 8.803
0.385 -0.674 10.347
-0.951 0.571 11.996
0.199 0.949 7.809
-0.434 1.155 8.720
-1.433 0.934 9.796
-0.352 -0.991 6.279
1.231 -0.842 12.417
-1.016 -0.874 9.104
-0.324 0.418 9.155
0.701 0.633 11.827
0.852 0.349 12.369
-0.435 -0.433 9.178
-1.381 -0.138 8.687
-0.703 0.284 7.308
0.878 0.369 13.720
-0.363 -0.882 6.591
-1.420 -0.916 9.848
-0.681 -0.093 9.430
0.245 0.433 11.588
-0.333 -0.438 8.466
-0.026 -0.045 9.306
-0.587 0.973 10.738
-0.611 1.326 12.193
-0.759 0.012 8.101
-0.294 -0.787 10.912
0.419 -0.337 9.622
-0.914 -0.195 9.800
-1.705 0.171 9.832
-1.088 0.271 10.024
1.206 -0.115 10.631
0.562 -0.721 10.014
-0.679 0.425 9.502
-1.260 0.374 10.987
-0.088 1.184 7.656
-0.113 -0.261 10.537
-0.045 -0.577 7.351
-0.630 0.262 10.568
-1.007 0.070 10.397
0.559 -0.589 7.525
-0.181 -0.500 11.090
-1.278 -0.440 12.269
-0.357 1.403 10.174
0.563 1.496 8.346
-1.406 -0.423 10.790
-0.089 -0.698 8.820
0.632 0.609 9.869
-0.375 -0.138 10.792
-1.615 -0.142 8.730
0.014 0.840 10.128
1.009 -0.483 11.822
0.325 0.065 10.292
-0.789 -0.041 9.302
-0.980 0.945 10.420
-0.424 0.065 8.643
0.223 -0.086 13.609
-0.276 -0.538 7.505
-0.727 0.088 11.898
-0.744 -0.106 9.381
-0.617 -0.943 13.972
0.634 -0.588 6.437
-0.197 0.051 12.657
-1.526 0.564 11.943
-0.439 0.760 6.144
0.563 1.252 10.471
-0.010 -0.276 8.313
-0.459 -1.318 9.499
-0.207 0.544 11.905
-0.905 0.679 8.511
-0.823 0.145 9.458
1.068 -0.921 8.855
2.120 -0.769 13.904
0.270 0.463 9.930
-2.304 0.394 11.249
-1.372 0.106 8.834
0.255 1.194 10.040
1.216 -0.737 9.593
0.608 -1.217 9.077
-0.784 -0.094 8.880
-1.533 -0.282 12.629
0.102 0.574 7.064
0.097 -1.150 11.294
-0.126 0.153 8.090
-0.165 0.441 12.108
-0.547 0.852 9.861
-1.120 -0.132 8.346
-0.389 -0.514 10.339
0.069 -0.041 12.119
-0.500 0.465 6.759
-0.796 0.420 7.936
-0.087 -0.033 9.730
0.733 -0.453 10.876
-0.120 0.191 9.083
-0.625 1.311 11.032
-0.856 0.593 11.193
-0.571 1.107 12.214
-0.094 -0.698 11.681
-0.146 -0.647 7.854
0.137 0.338 11.392
-0.567 -0.156 12.708
0.097 -0.505 6.153
0.203 -0.447 7.674
-0.316 -0.210 11.844
-0.029 0.805 11.619
0.334 0.900 8.108
-1.802 -1.180 11.122
0.787 -0.051 11.307
1.458 0.571 9.050
-0.608 -0.461 11.841
-1.099 0.038 7.746
0.285 0.926 12.223
0.752 -0.657 7.372
0.456 -0.179 12.691
0.229 0.391 11.924
-0.895 0.845 10.774
-1.004 0.336 9.829
0.171 0.803 10.052
0.444 -0.458 11.436
-1.007 -0.336 11.746
-0.976 -0.193 9.258
-0.827 -0.465 11.812
0.843 -0.773 7.815
0.456 -0.614 11.318
-0.824 0.910 10.362
-0.623 0.978 10.034
-0.009 1.064 7.800
-0.477 -0.056 8.428
-0.360 -1.897 12.455
-0.104 0.287 8.741
-0.967 0.756 8.838
-1.802 -0.258 13.019
-0.779 -0.493 10.114
1.365 -1.119 10.158
1.621 0.458 12.209
-1.255 0.746 10.597
-2.004 0.424 10.004
-0.718 0.582 7.245
-0.440 1.130 8.953
0.569 0.552 11.301
-0.541 -1.945 11.632
-0.622 -0.801 10.904
-0.319 0.363 8.995
-0.470 0.092 10.962
