x y z
-1.449 0.417 9.925
-1.434 0.382 9.927
-1.490 0.397 9.977
-1.567 0.440 10.041
-1.540 0.464 9.992
-1.567 0.478 10.009
-1.567 0.452 9.983
-1.557 0.430 10.001
-1.579 0.418 10.035
-1.516 0.397 9.958
-1.506 0.407 10.003
-1.458 0.474 9.942
-1.426 0.431 9.896
-1.395 0.431 9.933
-1.442 0.392 9.958
-1.488 0.460 9.958
-1.511 0.418 9.932
-1.481 0.526 10.056
-1.550 0.488 9.997
-1.513 0.415 9.904
-1.570 0.479 9.996
-1.629 0.456 9.971
-1.583 0.437 9.943
-1.519 0.499 9.960
-1.442 0.520 9.887
-1.323 0.429 9.800
-1.307 0.440 9.842
-1.377 0.494 9.924
-1.278 0.468 9.833
-1.460 0.492 9.875
-1.502 0.531 9.933
-1.474 0.530 9.999
-1.455 0.437 9.939
-1.579 0.480 9.803
-1.649 0.486 9.803
-1.699 0.473 9.903
-1.710 0.485 9.925
-1.692 0.536 9.864
-1.582 0.476 9.819
-1.391 0.398 9.770
-1.312 0.468 9.770
-1.232 0.467 9.683
-1.315 0.452 9.635
-1.509 0.447 9.729
-1.570 0.410 9.876
-1.552 0.442 9.896
-1.535 0.446 9.885
-1.504 0.431 9.977
-1.563 0.432 9.995
-1.625 0.435 9.980
-1.611 0.416 9.898
-1.481 0.388 9.836
-1.412 0.432 9.872
-1.350 0.425 9.837
-1.352 0.428 9.861
-1.379 0.407 9.919
-1.312 0.374 9.875
-1.337 0.416 9.804
-1.389 0.430 9.818
-1.575 0.340 9.815
-1.776 0.354 9.799
-1.799 0.394 9.904
-1.769 0.413 9.928
-1.689 0.495 9.856
-1.663 0.487 9.802
-1.516 0.464 9.833
-1.368 0.430 9.756
-1.353 0.422 9.672
-1.306 0.458 9.681
-1.359 0.473 9.757
-1.380 0.480 9.750
-1.421 0.530 9.868
-1.412 0.569 9.901
-1.423 0.565 9.858
-1.466 0.447 9.857
-1.498 0.482 9.871
-1.527 0.492 9.870
-1.472 0.492 9.937
-1.516 0.507 9.897
-1.591 0.421 9.881
-1.583 0.428 9.930
-1.536 0.389 9.946
-1.516 0.395 9.919
-1.518 0.455 9.854
-1.457 0.431 9.863
-1.452 0.452 9.850
-1.581 0.415 9.824
-1.598 0.421 9.844
-1.619 0.438 9.881
-1.600 0.458 9.859
-1.542 0.494 9.922
-1.534 0.453 9.921
-1.485 0.417 9.906
-1.478 0.430 9.850
-1.456 0.456 9.842
-1.442 0.428 9.857
-1.420 0.468 9.836
-1.426 0.476 9.837
-1.524 0.458 9.865
-1.592 0.435 9.936
-1.557 0.425 9.946
-1.476 0.440 10.019
-1.531 0.460 10.021
-1.573 0.404 9.923
-1.566 0.370 9.938
-1.555 0.390 9.978
-1.590 0.437 10.015
-1.581 0.437 10.040
-1.511 0.440 10.003
-1.476 0.407 10.041
-1.488 0.335 10.003
-1.485 0.349 9.992
-1.460 0.342 9.978
-1.393 0.452 9.966
-1.391 0.388 9.943
-1.461 0.432 9.955
-1.558 0.351 9.933
-1.515 0.405 9.943
-1.490 0.438 9.952
-1.466 0.426 9.857
-1.476 0.445 9.900
-1.494 0.396 9.832
-1.584 0.368 9.805
-1.628 0.363 9.918
-1.543 0.398 9.878
-1.478 0.365 9.908
-1.451 0.371 9.852
-1.444 0.388 9.827
-1.498 0.399 9.912
-1.564 0.390 9.958
-1.618 0.422 9.976
-1.494 0.399 9.971
-1.510 0.374 10.020
-1.568 0.392 10.084
-1.550 0.399 10.138
-1.524 0.413 10.105
-1.417 0.390 10.017
-1.390 0.410 10.035
-1.397 0.341 9.961
-1.438 0.385 9.979
-1.494 0.409 10.035
-1.565 0.475 10.048
-1.519 0.396 9.999
-1.545 0.469 10.053
-1.540 0.416 10.064
-1.604 0.398 9.960
-1.565 0.469 10.003
-1.499 0.590 10.029
-1.434 0.525 9.955
-1.424 0.456 9.901
-1.436 0.410 9.887
-1.467 0.430 10.003
-1.403 0.477 10.023
-1.385 0.456 9.986
-1.379 0.437 10.007
-1.524 0.431 9.970
-1.549 0.428 9.998
-1.612 0.469 10.141
-1.600 0.510 9.981
-1.450 0.545 10.010
-1.414 0.508 10.015
-1.379 0.529 10.046
-1.393 0.501 9.910
-1.439 0.510 9.882
-1.510 0.513 9.896
-1.415 0.489 10.004
-1.337 0.489 9.992
-1.288 0.506 10.000
-1.461 0.423 9.958
-1.652 0.538 10.034
-1.816 0.459 10.004
-1.743 0.594 10.035
-1.691 0.557 9.979
-1.522 0.574 9.932
-1.460 0.468 9.985
-1.424 0.550 9.956
-1.392 0.532 9.826
-1.423 0.559 9.806
-1.476 0.578 9.894
-1.428 0.528 9.949
-1.470 0.440 9.922
-1.536 0.377 10.034
-1.619 0.456 10.128
-1.620 0.520 10.091
-1.592 0.601 10.113
-1.524 0.594 10.079
-1.399 0.471 9.978
-1.362 0.398 9.959
-1.345 0.409 10.039
-1.417 0.399 10.027
-1.405 0.418 10.072
-1.467 0.455 10.085
-1.430 0.408 10.065
-1.584 0.364 10.065
-1.720 0.408 10.156
-1.745 0.489 10.097
-1.725 0.479 10.019
-1.642 0.568 10.049
-1.423 0.513 9.948
-1.436 0.427 9.856
-1.494 0.353 9.833
-1.522 0.373 9.953
-1.507 0.351 9.877
-1.469 0.512 9.880
-1.373 0.537 9.907
-1.362 0.478 9.911
-1.373 0.468 9.986
-1.457 0.501 9.969
-1.436 0.452 9.919
-1.499 0.494 9.979
-1.527 0.474 10.031
-1.515 0.449 10.090
-1.540 0.412 10.089
-1.538 0.441 10.125
-1.501 0.379 10.030
-1.569 0.452 10.115
-1.640 0.470 10.024
-1.625 0.474 10.071
-1.570 0.407 10.076
-1.470 0.486 10.071
-1.424 0.493 10.015
-1.431 0.461 9.973
-1.546 0.497 10.073
-1.571 0.510 10.053
-1.502 0.519 10.039
-1.475 0.464 10.007
-1.545 0.509 10.035
-1.506 0.453 9.977
-1.412 0.482 9.952
-1.401 0.523 9.973
-1.507 0.576 10.045
-1.585 0.503 9.986
-1.615 0.476 10.030
-1.649 0.437 10.129
-1.613 0.477 10.175
-1.568 0.494 10.111
-1.454 0.521 10.095
-1.409 0.433 10.110
-1.394 0.391 10.019
-1.420 0.395 10.037
-1.506 0.497 10.083
-1.577 0.514 10.090
-1.634 0.517 10.181
-1.605 0.460 10.140
-1.549 0.467 10.141
-1.527 0.476 10.143
-1.469 0.441 10.137
-1.473 0.459 10.043
-1.420 0.555 10.052
-1.409 0.467 9.999
-1.426 0.438 9.983
-1.484 0.427 10.004
-1.538 0.453 10.055
-1.590 0.449 10.101
-1.458 0.466 10.024
-1.481 0.558 10.018
-1.446 0.440 9.924
-1.586 0.458 9.958
-1.579 0.418 9.925
-1.408 0.527 9.934
-1.409 0.511 9.922
-1.485 0.435 9.919
-1.512 0.371 9.909
-1.473 0.424 9.991
-1.447 0.433 10.053
-1.500 0.494 10.082
-1.495 0.480 10.035
-1.485 0.476 10.091
-1.476 0.427 10.033
-1.481 0.474 10.101
-1.548 0.417 10.026
-1.513 0.434 10.039
-1.487 0.456 10.028
-1.474 0.494 10.040
-1.530 0.453 9.997
-1.500 0.412 9.998
-1.486 0.428 9.983
-1.452 0.453 9.960
-1.458 0.438 9.892
-1.461 0.502 9.915
-1.500 0.421 9.945
-1.448 0.469 10.035
-1.505 0.410 10.005
-1.452 0.419 9.920
-1.545 0.379 9.917
-1.551 0.465 9.970
-1.507 0.442 9.947
-1.445 0.413 9.891
-1.462 0.451 9.952
-1.470 0.431 9.890
-1.463 0.362 9.928
-1.453 0.452 9.928
-1.513 0.522 10.025
-1.482 0.517 9.952
-1.409 0.436 9.969
-1.366 0.455 9.975
-1.555 0.443 10.001
-1.640 0.492 9.988
-1.682 0.507 10.023
-1.570 0.467 10.025
-1.627 0.488 10.043
-1.495 0.465 9.992
-1.404 0.407 9.974
-1.347 0.477 9.973
-1.501 0.526 9.966
-1.466 0.516 9.879
-1.514 0.519 9.995
-1.493 0.469 9.986
-1.543 0.462 10.047
-1.659 0.455 10.129
-1.617 0.436 10.091
-1.576 0.507 10.057
-1.504 0.527 9.989
-1.448 0.485 9.899
-1.370 0.421 9.873
-1.363 0.421 9.904
-1.438 0.397 9.897
-1.434 0.449 9.951
-1.402 0.508 10.045
-1.362 0.434 9.966
-1.536 0.395 10.010
-1.747 0.439 10.078
-1.786 0.363 10.013
-1.713 0.475 10.030
-1.670 0.574 10.041
-1.569 0.469 9.973
-1.494 0.476 9.928
-1.418 0.439 9.927
-1.442 0.465 9.923
-1.467 0.444 9.847
-1.496 0.525 9.885
-1.387 0.505 9.888
-1.371 0.440 9.930
-1.367 0.431 9.974
-1.439 0.438 9.951
-1.445 0.456 10.011
-1.482 0.467 9.952
-1.457 0.504 9.915
-1.591 0.441 9.924
