x y z
0.217 -0.956 10.113
-0.395 -0.894 10.573
-0.100 -0.842 10.032
-0.365 -0.700 10.389
-0.521 -0.869 10.038
0.206 -1.199 9.784
-0.028 -0.969 10.345
-0.750 -0.996 10.555
-0.120 -1.012 9.876
-0.647 -0.925 10.574
-0.219 -0.936 9.902
1.001 -1.166 9.954
0.014 -1.025 10.808
-0.450 -0.866 10.415
1.074 -1.049 9.743
-0.713 -0.831 10.497
0.689 -0.848 9.665
0.540 -0.797 10.177
-1.053 -0.681 10.571
-0.080 -0.737 9.891
0.677 -0.852 9.683
-0.361 -0.895 10.164
0.791 -0.909 9.549
-0.368 -0.713 10.411
-0.630 -0.823 10.461
0.792 -0.977 9.632
0.188 -1.111 10.033
0.525 -1.058 9.627
0.335 -1.070 9.805
-0.929 -0.904 10.469
-0.255 -1.192 10.085
0.346 -1.398 9.641
-0.436 -1.158 10.235
0.358 -1.082 9.597
0.150 -1.146 10.037
-0.508 -1.145 10.447
0.146 -1.313 9.876
0.401 -1.307 9.748
-0.281 -1.082 10.475
0.309 -1.185 9.459
-0.188 -1.311 10.093
-0.614 -1.353 10.368
0.055 -1.164 9.567
0.688 -1.107 9.747
-0.235 -0.992 10.521
0.825 -1.173 9.322
-0.124 -1.208 10.287
-0.654 -1.110 9.770
0.710 -1.078 9.218
0.511 -1.095 10.035
-0.553 -0.891 10.116
0.840 -0.866 9.686
-0.538 -0.884 9.939
0.134 -0.958 9.431
1.021 -0.987 9.462
-0.209 -1.040 9.967
-0.714 -1.256 9.857
-0.218 -1.169 9.820
-1.066 -0.940 10.026
0.456 -0.933 9.279
0.622 -1.123 9.766
-0.528 -1.110 10.503
0.279 -1.083 9.598
-0.433 -0.912 10.265
-0.180 -0.930 9.653
0.750 -1.183 9.175
-0.091 -1.190 9.820
-0.650 -1.028 9.910
0.525 -1.072 9.345
-0.592 -0.907 9.966
0.095 -0.970 9.438
0.641 -0.992 9.608
-0.199 -1.018 9.803
-0.339 -0.920 9.758
0.270 -1.019 9.441
-0.380 -0.821 9.936
-0.154 -0.987 9.476
0.368 -0.909 9.338
-0.054 -0.898 10.060
-0.306 -0.921 9.793
0.575 -1.049 9.362
-0.391 -0.694 10.081
0.368 -1.017 9.341
0.586 -1.077 9.575
-0.292 -1.003 10.054
0.004 -0.895 9.681
0.904 -0.977 9.479
-0.129 -0.837 9.769
0.941 -0.858 9.489
0.428 -0.839 9.811
-0.720 -0.706 9.943
0.259 -0.945 9.459
0.209 -1.024 9.413
-0.190 -0.911 9.353
0.188 -1.044 9.054
-0.776 -0.925 9.968
-0.261 -0.937 9.785
1.113 -1.077 9.154
0.326 -0.982 9.796
