x y z
-0.820 -0.091 10.168
-0.744 -0.017 9.932
-0.706 0.016 9.832
-0.616 0.016 10.064
-0.627 0.053 9.986
-0.507 0.132 9.714
-0.415 0.255 9.839
-0.626 0.031 9.743
-0.840 0.028 9.776
-0.823 -0.099 9.639
-0.715 -0.232 9.835
-1.000 -0.259 9.945
-1.149 -0.288 9.842
-1.082 -0.099 9.861
-1.027 -0.145 9.882
-1.220 -0.202 9.904
-1.367 -0.174 10.232
-1.192 -0.008 9.910
-1.187 -0.078 10.091
-1.659 -0.226 10.334
-1.817 -0.138 10.536
-1.333 -0.119 10.105
-0.685 0.244 10.217
-0.733 0.060 10.117
-1.186 -0.100 10.626
-0.817 0.019 10.314
-0.383 0.034 10.055
0.059 0.208 10.310
-0.385 0.113 10.451
-0.706 0.039 10.597
-0.621 0.205 10.509
-0.508 -0.015 10.332
-0.541 0.028 10.571
-0.362 0.065 10.446
-0.215 0.191 10.435
-0.578 -0.081 10.346
-1.128 -0.392 10.170
-1.060 -0.296 10.327
-0.904 -0.125 10.245
-0.826 -0.171 9.992
-1.351 -0.260 10.012
-1.424 -0.287 9.850
-1.102 0.031 9.566
-0.796 0.017 9.612
-0.863 0.120 9.400
-0.881 0.007 9.459
-0.751 0.157 9.136
-0.762 0.232 9.188
-0.851 -0.187 9.033
-1.064 0.045 8.825
-0.864 -0.157 8.700
-0.865 0.205 8.872
-0.824 0.050 8.822
-0.918 0.133 8.761
-1.044 0.008 8.673
-1.411 -0.060 8.892
-1.481 -0.110 9.058
-1.322 -0.152 8.736
-0.960 -0.017 8.554
-0.878 -0.022 9.293
-1.225 -0.262 9.526
-1.189 -0.161 9.595
-0.834 -0.279 9.605
-0.410 -0.120 9.828
-0.685 -0.260 10.420
-0.916 -0.185 10.340
-0.343 -0.236 10.234
0.001 -0.047 10.286
-0.104 -0.038 10.484
-0.503 -0.391 10.350
-0.446 -0.273 10.225
-0.130 -0.200 10.102
-0.516 -0.199 10.163
-0.893 -0.093 10.303
-0.747 -0.075 9.917
-0.224 0.114 9.960
-0.467 0.379 9.818
-1.100 0.242 9.632
-1.241 0.324 9.712
-0.838 0.465 9.430
-0.924 0.602 9.543
-1.286 0.422 9.646
-1.560 0.407 9.615
-1.345 0.598 9.631
-1.177 0.608 9.554
-1.401 0.445 9.631
-1.333 0.236 9.548
-1.086 0.300 9.663
-0.811 0.435 9.657
-1.011 0.122 9.511
-1.381 -0.235 9.547
-1.164 -0.330 9.858
-0.957 -0.068 9.806
-0.482 -0.101 9.520
-0.491 -0.225 9.872
-0.687 -0.167 9.779
-0.527 -0.033 10.006
-0.482 0.114 9.806
-0.535 -0.030 9.757
-0.922 -0.057 10.082
-0.970 -0.053 10.079
-0.738 0.007 9.917
-0.645 -0.023 9.934
-0.617 -0.016 10.118
-0.689 0.173 10.225
-0.536 0.198 10.272
-0.473 0.289 10.250
-0.603 0.223 10.297
-0.948 0.158 10.457
-0.964 0.188 10.333
-0.738 0.169 10.476
-0.597 0.450 10.089
-0.660 0.479 10.368
-0.875 0.401 10.253
-0.841 0.419 10.024
-0.575 0.353 10.141
-0.702 0.385 9.921
-0.889 0.026 10.055
-1.186 0.084 9.972
-0.966 0.320 10.082
-0.665 0.324 9.940
-0.904 0.247 9.955
-1.039 0.164 10.035
-1.040 0.230 9.859
-0.618 0.284 9.738
-0.659 0.087 9.796
-1.033 -0.158 9.986
-1.194 0.080 10.071
-0.899 -0.022 9.875
-0.607 0.267 9.858
-0.773 0.328 10.137
-1.152 0.251 10.132
-0.994 0.284 9.925
-0.425 0.199 9.778
-0.478 0.305 9.957
-0.830 0.040 10.085
-0.968 -0.088 9.953
-0.692 0.028 10.046
-0.735 0.142 10.166
-1.101 0.050 9.988
-1.080 -0.124 10.074
-0.790 0.099 9.885
-0.403 0.425 10.067
-0.702 0.234 9.886
-1.132 -0.083 9.881
-0.976 0.046 10.045
-0.862 0.314 10.079
-0.666 0.258 9.849
-0.965 0.184 9.946
-1.066 0.307 10.107
-0.763 0.407 10.287
-0.787 0.343 10.162
-0.909 0.211 10.244
-1.050 0.086 10.379
-0.881 0.181 10.252
-0.718 0.162 10.159
-0.854 -0.135 10.200
-0.939 -0.089 10.354
-0.824 -0.072 10.147
-0.566 0.236 10.329
-0.608 0.278 10.272
-0.912 0.126 10.299
-1.021 0.042 10.151
-0.737 0.072 9.968
-0.705 0.285 9.979
-0.651 0.210 9.812
-0.785 0.020 9.583
-0.821 0.034 9.811
-0.817 0.173 9.811
-0.799 0.148 9.849
-0.782 -0.060 9.525
-0.803 -0.071 9.919
-0.983 0.061 9.781
-0.968 0.288 9.590
-0.705 0.117 9.543
-0.912 0.124 9.427
-1.005 0.132 9.686
-0.948 0.178 9.528
-0.604 0.172 9.638
-0.551 0.283 9.709
-0.961 0.140 10.123
-1.208 0.127 10.010
-1.046 0.251 9.993
-0.567 0.328 9.960
-0.677 0.419 9.784
-0.899 0.125 9.831
-0.899 0.193 10.078
-0.780 0.383 9.810
-0.646 0.122 9.695
-0.800 -0.035 9.928
-0.963 -0.003 9.867
-0.781 0.232 9.897
-0.708 0.268 9.915
-0.870 -0.086 9.711
-0.935 0.088 9.858
-0.648 0.148 9.851
-0.376 0.354 9.696
-0.562 0.163 9.773
-0.922 0.007 9.922
-0.924 0.255 10.045
-0.689 0.204 9.999
-0.645 0.313 10.019
-0.804 0.166 10.084
-0.724 0.223 9.958
-0.531 0.291 10.003
-0.870 0.032 10.125
-1.162 0.060 10.284
-1.143 -0.191 9.948
-0.846 0.091 10.122
-0.768 0.178 10.137
-0.982 -0.010 10.165
-0.985 0.089 10.050
-0.747 0.142 10.181
-0.594 0.477 10.254
-0.866 0.455 10.132
-0.990 0.307 9.760
-0.835 0.194 10.068
-0.870 0.308 9.939
-0.946 0.355 9.754
-0.756 0.221 9.941
-0.595 0.437 9.863
-0.589 0.367 9.920
-0.867 0.310 9.938
-0.877 0.217 9.708
-0.751 0.234 9.963
-0.696 0.167 9.789
-0.753 -0.025 9.954
-0.878 0.025 10.163
-0.777 0.391 10.074
-0.646 0.379 10.149
-0.724 0.367 10.025
-0.911 0.354 10.239
-0.700 0.404 10.177
-0.505 0.558 9.963
-0.654 0.246 10.147
-0.944 -0.004 10.184
-1.012 0.170 10.263
-0.548 0.290 10.034
-0.430 0.276 10.207
-0.684 0.217 10.181
-0.857 0.317 10.155
-0.772 0.386 10.138
-0.820 0.506 10.206
-0.798 0.161 10.013
-0.903 0.142 9.955
-0.805 0.343 9.928
-0.686 0.472 9.977
-0.824 0.522 10.022
-0.797 0.380 9.901
-0.790 0.346 9.890
-0.575 0.592 10.068
-0.578 0.633 9.893
-0.698 0.315 9.936
-0.968 0.208 9.920
-1.016 0.325 9.902
-0.866 0.416 9.945
-0.563 0.367 9.881
-0.663 0.413 9.835
-0.754 0.454 9.995
-0.711 0.340 9.785
-0.753 0.374 9.989
-0.804 0.362 9.988
-0.800 0.318 9.737
-0.808 0.234 9.821
-0.803 0.272 9.743
-0.659 0.159 9.801
-0.672 0.125 9.763
-0.561 0.028 9.842
-0.577 0.334 10.234
-0.628 0.448 10.031
-0.706 0.159 10.100
-0.854 -0.127 10.097
-1.004 -0.002 10.210
-0.912 0.077 10.142
-0.834 0.211 10.123
-0.745 0.203 10.169
-0.713 0.334 10.315
-0.693 0.440 10.313
-0.714 0.442 10.362
-0.795 0.377 10.305
-0.847 0.374 10.104
-0.864 0.326 10.066
-0.965 0.410 10.178
-0.885 0.526 10.098
-0.747 0.464 9.707
-0.736 0.556 9.985
-1.003 0.550 9.974
-1.046 0.515 9.779
-0.735 0.530 9.636
-0.705 0.410 9.830
-0.995 0.351 9.943
-1.362 0.262 9.880
-0.925 0.197 9.828
-0.452 0.428 9.837
-0.570 0.440 10.102
-0.897 0.259 9.942
-0.922 0.185 10.114
-0.793 0.463 10.177
-0.636 0.285 9.945
-0.741 -0.011 9.990
-0.925 0.214 10.114
-0.671 0.241 10.123
-0.671 0.350 9.998
-0.727 0.183 10.093
-0.849 0.328 10.263
-0.455 0.437 10.151
-0.165 0.629 9.973
-0.464 0.410 10.037
-0.772 0.474 10.288
-0.818 0.167 9.949
-0.498 0.550 10.059
-0.382 0.644 10.146
-0.610 0.428 10.065
-0.613 0.510 9.941
-0.385 0.565 9.981
-0.294 0.596 10.043
-0.602 0.249 9.863
-0.855 0.093 9.613
-0.680 0.173 9.729
-0.668 0.386 9.772
-0.736 0.098 9.366
-0.969 -0.111 9.328
-0.971 -0.020 9.505
-0.873 0.198 9.275
-0.958 0.169 9.258
-1.079 0.074 8.969
-1.021 -0.066 9.275
-1.081 -0.156 9.108
-1.134 -0.212 9.153
-1.115 -0.083 9.385
-0.910 -0.077 9.508
-0.680 -0.205 9.634
-0.742 -0.130 9.745
-1.007 -0.084 10.085
-1.050 -0.152 9.954
-0.830 -0.248 10.273
-0.721 -0.029 10.432
-0.918 0.196 10.789
-0.903 0.088 10.706
-0.812 0.410 10.648
-0.589 0.553 10.728
-0.819 0.562 10.804
-0.989 0.654 10.447
-0.628 0.864 10.705
-0.620 1.048 10.392
-0.751 0.957 10.726
-1.327 0.733 10.500
-1.357 1.053 10.582
-0.710 1.007 10.455
-0.712 0.888 10.262
-0.880 0.863 10.546
-1.082 0.742 10.473
-0.894 0.812 10.541
-0.528 0.613 10.597
-0.657 0.387 10.722
-0.890 0.282 10.655
-0.851 0.202 10.652
-0.625 0.250 10.808
-0.632 0.267 10.665
-0.796 -0.005 10.513
-0.689 -0.020 10.618
-0.348 0.248 10.649
-0.270 0.337 10.429
-0.468 0.248 10.475
-0.851 0.207 10.673
-0.736 0.175 10.403
-0.570 0.520 10.385
-0.607 0.367 10.199
-0.772 0.374 10.108
-0.598 0.337 9.881
-0.275 0.569 9.745
-0.455 0.714 9.440
-0.734 0.458 9.593
-0.726 0.215 9.144
-0.747 0.448 9.248
-0.682 0.491 9.117
-0.829 0.216 8.852
-1.036 -0.182 9.157
-1.035 -0.199 9.137
-0.888 -0.001 9.298
-0.729 -0.080 9.108
-0.799 -0.130 9.416
-0.881 -0.458 9.538
-0.968 -0.400 9.361
-0.765 -0.221 9.259
-0.677 0.011 9.788
-0.695 -0.057 9.439
-0.730 -0.069 9.452
-0.766 0.018 9.416
-0.976 0.221 9.843
-1.141 0.029 9.800
-1.181 -0.021 9.809
-1.286 0.245 10.059
