-0.717 4.129 8.816 0
-0.717 4.129 8.816 5
-0.765 3.842 8.893 5
-0.765 3.842 8.893 4
-0.765 3.842 8.893 5
-0.765 3.842 8.893 5
-0.535 3.87 8.979 5
-0.535 3.87 8.979 6
-0.535 3.87 8.979 5
-0.535 3.87 8.979 4
-0.478 3.966 9.056 5
-0.478 3.966 9.056 5
-0.478 3.966 9.056 5
-0.478 3.966 9.056 6
-0.382 3.985 8.855 5
-0.382 3.985 8.855 5
-0.382 3.985 8.855 4
-0.382 3.985 8.855 5
-0.497 3.928 8.5 5
-0.497 3.928 8.5 6
-0.497 3.928 8.5 5
-0.497 3.928 8.5 5
-0.554 3.851 8.548 4
-0.554 3.851 8.548 5
-0.554 3.851 8.548 5
-0.554 3.851 8.548 5
-0.631 3.631 8.491 6
-0.631 3.631 8.491 5
-0.631 3.631 8.491 4
-0.344 3.66 8.644 5
-0.344 3.66 8.644 5
-0.344 3.66 8.644 5
-0.344 3.66 8.644 6
-0.43 3.746 8.835 5
-0.43 3.746 8.835 4
-0.43 3.746 8.835 5
-0.43 3.746 8.835 5
-0.505 3.775 8.807 5
-0.505 3.775 8.807 6
-0.505 3.775 8.807 5
-0.505 3.775 8.807 5
-0.449 3.736 8.682 4
-0.449 3.736 8.682 5
-0.449 3.736 8.682 5
-0.449 3.736 8.682 6
-0.593 3.736 8.472 5
-0.593 3.736 8.472 5
-0.593 3.736 8.472 4
-0.593 3.736 8.472 5
-0.315 3.688 8.577 5
-0.315 3.688 8.577 5
-0.315 3.688 8.577 6
-0.315 3.688 8.577 5
-0.296 3.583 8.922 4
-0.296 3.583 8.922 5
-0.296 3.583 8.922 5
-0.296 3.583 8.922 5
-0.382 3.277 9.592 6
-0.382 3.277 9.592 5
-0.382 3.277 9.592 4
-0.382 3.277 9.592 5
-0.583 3.286 9.659 5
-0.583 3.286 9.659 5
-0.583 3.286 9.659 6
-0.583 3.286 9.659 5
-0.554 3.315 9.199 5
-0.554 3.315 9.199 4
-0.554 3.315 9.199 5
-0.554 3.315 9.199 5
-0.631 3.133 8.807 6
-0.631 3.133 8.807 5
-0.631 3.133 8.807 5
-0.631 3.133 8.807 4
-0.181 3.564 9.113 5
-0.181 3.564 9.113 5
-0.181 3.564 9.113 5
-0.296 3.65 9.104 6
-0.296 3.65 9.104 5
-0.296 3.65 9.104 4
-0.296 3.65 9.104 5
-0.382 3.631 9.017 5
-0.382 3.631 9.017 5
-0.382 3.631 9.017 6
-0.382 3.631 9.017 5
-0.372 3.535 9.18 4
-0.372 3.535 9.18 5
-0.372 3.535 9.18 5
-0.372 3.535 9.18 5
-0.372 3.497 9.056 6
-0.372 3.497 9.056 5
-0.372 3.497 9.056 5
-0.372 3.497 9.056 4
-0.573 3.478 8.826 5
-0.573 3.478 8.826 5
-0.573 3.478 8.826 6
-0.573 3.478 8.826 5
-0.66 3.439 8.826 5
-0.66 3.439 8.826 4
-0.66 3.439 8.826 5
-0.66 3.439 8.826 5
-0.679 3.258 9.017 5
-0.679 3.258 9.017 6
-0.679 3.258 9.017 5
-0.679 3.258 9.017 4
-0.526 3.171 9.094 5
-0.526 3.171 9.094 5
-0.526 3.171 9.094 5
-0.526 3.171 9.094 6
-0.66 3.305 8.941 5
-0.66 3.305 8.941 4
-0.66 3.305 8.941 5
-0.66 3.305 8.941 5
-0.516 3.296 8.807 5
-0.516 3.296 8.807 6
-0.516 3.296 8.807 5
-0.516 3.296 8.807 5
-0.353 3.171 8.874 4
-0.353 3.171 8.874 5
-0.353 3.171 8.874 5
-0.353 3.171 8.874 6
-0.315 3.152 9.037 5
-0.315 3.152 9.037 5
-0.315 3.152 9.037 4
-0.219 3.344 8.922 5
-0.219 3.344 8.922 5
-0.219 3.344 8.922 5
-0.219 3.344 8.922 6
0.019 3.526 8.778 5
0.019 3.526 8.778 4
0.019 3.526 8.778 5
0.019 3.526 8.778 5
0.249 3.593 8.912 5
0.249 3.593 8.912 6
0.249 3.593 8.912 5
0.249 3.593 8.912 4
0.192 3.353 8.902 5
0.192 3.353 8.902 5
