x y z
-0.992 -0.141 9.863
-1.034 -0.078 9.833
-1.038 -0.053 9.990
-0.955 -0.097 9.871
-1.054 -0.061 9.922
-0.982 -0.089 9.928
-1.057 -0.096 9.885
-0.974 -0.059 9.963
-0.970 -0.119 9.826
-1.021 -0.078 9.779
-0.980 -0.127 9.963
-1.051 -0.079 9.813
-1.058 -0.080 9.862
-1.081 -0.168 9.788
-1.151 -0.009 9.874
-1.063 -0.166 9.983
-1.064 -0.058 9.759
-1.119 -0.046 9.993
-1.081 -0.081 9.755
-1.113 -0.033 9.965
-1.063 -0.145 9.828
-1.080 0.036 9.772
-1.127 -0.144 10.012
-1.061 -0.040 9.777
-1.102 -0.108 10.039
-1.059 -0.073 9.753
-1.101 -0.077 10.056
-1.095 -0.199 9.950
-1.090 0.038 9.837
-1.058 -0.175 9.982
-1.125 0.022 9.900
-1.084 -0.202 9.957
-1.113 -0.012 9.854
-1.117 -0.018 10.037
-1.023 -0.163 9.763
-1.091 -0.032 9.990
-1.062 -0.151 9.741
-1.190 -0.036 9.970
-1.056 -0.163 9.718
-1.155 -0.008 9.858
-1.143 -0.112 9.803
-1.241 0.008 9.839
-1.129 -0.192 9.785
-1.208 -0.006 10.015
-1.079 -0.163 9.826
-1.112 -0.069 9.646
-1.139 -0.096 10.111
-1.082 -0.071 9.834
-1.098 -0.178 10.020
-1.098 -0.068 9.789
-1.019 -0.141 9.966
-1.044 -0.190 9.782
-1.105 -0.090 10.022
-1.028 -0.134 9.778
-1.100 -0.135 10.034
-1.120 -0.120 9.843
-1.114 -0.087 9.913
-1.101 -0.120 9.775
-1.208 -0.131 10.081
-1.151 -0.036 9.817
-1.177 -0.118 9.973
-1.263 -0.040 9.862
-1.149 -0.117 9.872
-1.167 -0.086 9.765
-1.257 -0.117 9.977
-1.170 -0.042 9.847
-1.103 -0.129 9.890
-1.249 -0.038 10.077
-1.021 -0.042 9.647
-1.152 -0.004 9.854
-1.050 -0.127 9.898
-1.283 -0.026 10.064
-0.980 -0.099 9.571
-1.312 -0.092 10.293
-1.073 -0.077 9.624
-1.323 -0.021 10.097
-0.977 -0.072 9.545
-1.350 -0.163 10.229
-1.187 -0.071 9.613
-1.184 -0.128 9.908
-1.397 -0.020 9.952
-1.406 -0.103 10.283
-1.219 -0.047 9.692
-1.099 -0.100 9.925
-1.396 -0.058 10.070
-0.967 -0.080 9.608
-1.334 -0.140 10.317
-0.961 -0.069 9.654
-1.433 -0.136 10.287
-0.970 -0.095 9.511
-1.216 -0.117 10.193
-1.317 -0.101 9.905
-0.983 -0.073 9.693
-1.253 -0.088 9.721
-1.075 -0.047 9.851
-1.442 -0.115 10.247
-1.100 -0.053 9.602
-1.347 -0.045 10.245
-1.372 -0.081 9.805
-1.419 -0.047 10.202
-1.270 -0.065 9.723
-1.232 -0.025 10.000
-1.346 -0.090 9.914
-1.265 -0.130 9.854
-1.259 -0.090 9.952
-1.213 -0.045 9.999
-1.202 -0.107 9.875
-1.214 -0.084 9.900
-1.213 -0.080 10.022
-1.147 -0.072 9.753
-1.193 -0.106 9.808
-1.192 -0.105 9.854
-1.270 -0.129 9.928
-1.282 -0.051 9.891
-1.243 -0.092 9.837
-1.353 -0.112 9.928
-1.318 -0.036 9.930
-1.354 -0.120 9.881
-1.263 -0.042 9.982
-1.298 -0.022 9.948
-1.302 -0.119 9.870
-1.222 -0.083 9.890
-1.189 -0.075 9.940
-1.207 -0.117 9.835
-1.186 -0.144 9.958
-1.276 -0.138 9.852
-1.225 -0.139 9.833
-1.199 -0.074 9.996
-1.340 -0.142 10.003
-1.226 -0.053 9.950
-1.405 -0.111 10.090
-1.350 -0.132 9.797
-1.257 -0.041 10.043
-1.376 -0.064 10.152
-1.341 -0.154 9.839
-1.299 -0.012 10.167
-1.321 -0.143 9.864
-1.281 -0.147 9.936
-1.153 -0.042 9.951
-1.281 -0.111 10.110
-1.335 -0.263 9.741
-1.269 -0.051 10.217
-1.388 -0.230 9.780
-1.318 -0.203 9.726
-1.259 0.006 10.073
-1.408 -0.048 10.043
-1.521 -0.258 9.830
-1.293 0.019 10.137
-1.539 -0.207 10.020
-1.349 -0.175 9.663
-1.141 0.060 10.006
-1.317 -0.024 10.205
-1.464 -0.275 9.944
-1.228 0.032 10.061
-1.412 -0.123 10.036
-1.363 -0.219 9.731
-1.204 -0.160 9.808
-1.273 -0.041 10.203
-1.278 -0.108 10.000
-1.283 -0.112 9.967
-1.330 -0.060 10.127
-1.299 -0.069 9.936
-1.418 -0.131 10.020
-1.433 -0.158 9.852
-1.237 -0.042 9.848
-1.475 -0.211 9.966
-1.309 -0.139 9.782
-1.241 -0.010 9.959
-1.193 -0.039 9.899
-1.354 -0.161 10.098
-1.383 -0.204 9.940
-1.278 -0.103 10.063
-1.363 -0.121 10.030
-1.376 -0.144 9.939
-1.402 -0.173 9.879
-1.272 -0.141 9.593
-1.329 -0.022 10.161
-1.393 -0.203 9.659
-1.326 -0.066 9.831
-1.248 0.002 10.107
-1.451 -0.090 10.382
-1.340 -0.205 9.856
-1.234 -0.106 9.898
-1.294 -0.166 10.038
-1.247 -0.117 10.013
-1.261 -0.091 9.992
-1.280 -0.159 9.977
-1.374 -0.132 9.947
-1.288 -0.125 9.800
-1.423 -0.163 10.056
-1.384 -0.090 9.804
-1.286 -0.042 9.842
-1.471 -0.050 10.177
-1.387 -0.117 9.883
-1.347 -0.044 9.985
-1.374 -0.071 9.904
-1.356 -0.124 9.954
-1.329 -0.084 9.831
-1.235 -0.071 9.884
-1.366 -0.110 10.119
-1.296 -0.110 9.806
-1.428 -0.093 10.041
-1.376 -0.157 9.794
-1.332 -0.056 9.904
-1.347 -0.002 10.050
-1.367 -0.086 10.059
-1.397 -0.108 9.970
-1.356 -0.050 9.969
-1.356 -0.119 9.901
-1.263 -0.105 10.014
-1.335 -0.057 10.086
-1.347 -0.081 9.928
-1.346 -0.083 9.989
-1.321 -0.107 10.043
-1.402 -0.186 9.940
-1.366 -0.108 9.832
-1.356 -0.053 9.939
-1.469 -0.100 10.026
-1.408 -0.093 9.900
-1.439 -0.062 9.947
-1.449 -0.098 9.913
-1.335 -0.052 9.852
-1.393 -0.065 9.974
-1.332 -0.078 9.878
-1.332 -0.066 10.030
-1.282 -0.078 9.882
-1.320 -0.089 9.968
-1.317 -0.098 9.848
-1.238 -0.065 9.867
-1.369 -0.091 10.045
-1.341 -0.098 9.842
-1.443 -0.021 10.122
-1.350 -0.056 9.909
-1.379 -0.029 10.025
-1.341 -0.032 10.000
-1.384 -0.025 9.992
-1.336 -0.035 9.887
-1.335 -0.093 9.988
-1.314 -0.111 9.914
-1.352 -0.088 9.948
-1.349 -0.068 9.971
-1.355 -0.083 9.983
-1.430 -0.092 10.007
-1.381 -0.078 10.041
-1.393 -0.053 9.957
-1.315 -0.016 9.920
-1.306 -0.029 9.985
-1.373 -0.068 9.986
-1.293 -0.084 9.904
-1.351 -0.106 9.991
-1.330 -0.097 9.941
-1.351 -0.066 9.948
-1.390 -0.090 9.969
-1.349 -0.121 9.948
-1.388 -0.084 10.011
-1.354 -0.016 9.955
-1.404 -0.020 10.034
-1.348 -0.006 9.943
-1.280 -0.045 9.998
-1.318 -0.038 10.113
-1.277 -0.050 9.966
-1.366 -0.084 9.956
-1.353 -0.105 9.919
-1.366 -0.099 9.869
-1.367 -0.068 9.922
-1.342 -0.092 9.916
-1.380 -0.102 10.007
-1.322 -0.124 10.033
-1.373 -0.058 10.015
-1.376 -0.143 9.910
-1.342 -0.103 9.945
-1.324 -0.095 10.031
-1.401 -0.103 9.958
-1.341 -0.051 10.103
-1.340 -0.096 10.011
-1.366 -0.123 9.975
-1.350 -0.066 9.950
-1.329 -0.097 10.038
-1.350 -0.151 9.948
-1.315 -0.072 10.028
-1.309 -0.106 10.028
-1.334 -0.104 9.980
-1.317 -0.081 9.953
-1.295 -0.115 10.026
-1.394 -0.185 9.949
-1.332 -0.104 10.041
-1.415 -0.156 10.103
-1.332 -0.096 9.919
-1.352 -0.088 10.039
-1.374 -0.071 10.088
-1.351 -0.130 9.930
-1.308 -0.019 10.025
-1.353 -0.092 10.108
-1.357 -0.105 10.053
-1.251 -0.088 9.921
-1.354 -0.092 10.005
-1.388 -0.123 9.967
-1.311 -0.094 10.029
-1.387 -0.100 9.974
-1.415 -0.144 9.846
-1.387 -0.054 9.891
-1.409 -0.084 9.913
-1.415 -0.105 9.896
-1.361 -0.055 9.954
-1.363 -0.069 9.924
-1.357 -0.074 9.961
-1.348 -0.013 10.031
-1.291 -0.056 10.007
-1.283 -0.081 10.044
-1.319 -0.046 9.951
-1.317 -0.025 9.957
-1.335 -0.088 9.928
-1.338 -0.080 9.998
-1.325 -0.061 9.954
-1.401 -0.068 9.957
-1.347 -0.063 10.016
-1.353 -0.083 10.016
-1.372 -0.051 9.913
-1.329 -0.024 10.000
-1.370 -0.052 10.062
-1.365 -0.129 10.028
-1.323 -0.063 9.974
-1.383 -0.087 10.105
-1.396 -0.116 10.050
-1.337 -0.132 10.012
-1.339 -0.082 10.014
-1.348 -0.069 10.038
-1.309 -0.121 10.041
-1.347 -0.127 10.082
-1.306 -0.136 9.959
-1.297 -0.095 9.986
-1.362 -0.125 10.022
-1.331 -0.163 10.007
-1.320 -0.111 9.997
-1.373 -0.149 10.010
-1.341 -0.141 9.979
-1.399 -0.013 10.035
-1.336 -0.102 9.966
-1.376 -0.107 10.061
-1.314 -0.052 9.975
-1.375 -0.106 10.009
-1.388 -0.090 9.967
-1.361 -0.081 10.005
-1.435 -0.062 10.055
-1.434 -0.050 9.922
-1.414 -0.050 10.114
-1.427 -0.077 9.952
-1.438 -0.025 9.933
-1.409 -0.042 10.010
-1.394 -0.040 9.975
-1.391 -0.025 10.037
-1.342 -0.069 10.000
-1.346 -0.033 10.091
-1.293 -0.048 9.969
-1.312 -0.047 10.088
-1.297 -0.084 10.048
-1.307 -0.083 9.964
-1.357 -0.080 9.956
-1.381 -0.111 10.021
-1.410 -0.099 9.963
-1.386 -0.053 9.934
-1.382 -0.128 9.986
-1.391 -0.173 10.033
-1.374 -0.145 9.982
-1.380 -0.093 10.006
-1.382 -0.089 10.046
-1.377 -0.115 10.095
-1.347 -0.064 9.992
-1.309 -0.112 10.062
-1.269 -0.106 9.982
-1.349 -0.139 10.096
-1.391 -0.139 10.074
-1.394 -0.105 9.961
-1.409 -0.139 9.964
-1.448 -0.142 10.032
-1.396 -0.122 10.041
-1.414 -0.105 9.924
-1.429 -0.072 9.995
-1.437 -0.068 9.968
-1.417 -0.127 9.964
-1.391 -0.034 9.988
-1.415 -0.051 9.992
-1.405 -0.100 10.046
-1.357 -0.072 9.885
-1.390 -0.057 10.040
-1.397 -0.099 9.983
-1.387 -0.102 9.978
-1.463 -0.094 10.033
-1.402 -0.076 9.948
-1.361 -0.112 10.030
-1.375 -0.051 9.967
-1.381 -0.096 10.040
-1.423 -0.072 10.049
-1.430 -0.113 10.056
-1.387 -0.156 10.132
-1.351 -0.071 9.969
-1.335 -0.150 10.104
-1.321 -0.088 10.143
-1.351 -0.173 10.191
-1.274 -0.162 10.003
-1.434 -0.126 10.162
-1.384 -0.166 10.082
-1.358 -0.147 10.037
-1.400 -0.120 10.024
-1.326 -0.091 9.940
-1.428 -0.110 10.024
-1.372 -0.141 9.937
-1.408 -0.049 10.062
-1.404 -0.176 9.980
-1.392 -0.145 9.985
-1.363 -0.206 10.071
-1.352 -0.188 10.007
-1.380 -0.153 9.882
-1.323 -0.108 9.970
-1.363 -0.068 10.064
-1.396 -0.129 9.910
-1.400 -0.099 10.064
-1.412 -0.152 10.162
-1.417 -0.113 9.902
-1.407 -0.067 9.907
-1.403 -0.104 10.119
-1.427 -0.115 9.918
-1.437 -0.072 9.999
-1.419 -0.062 10.077
-1.434 -0.142 9.985
-1.393 -0.089 9.903
-1.298 -0.081 10.041
-1.382 -0.151 10.050
-1.414 -0.164 9.906
-1.437 -0.102 10.097
-1.430 -0.092 10.022
-1.457 -0.109 9.883
-1.370 -0.106 10.089
-1.432 -0.048 10.080
-1.445 -0.120 9.927
-1.388 -0.076 9.913
-1.440 -0.074 10.071
-1.409 -0.115 9.929
-1.388 -0.047 9.928
-1.390 -0.082 10.065
-1.382 -0.098 9.876
-1.432 -0.099 10.051
-1.365 -0.036 9.845
-1.347 -0.032 10.037
-1.403 -0.046 9.949
-1.382 -0.104 10.082
-1.410 -0.108 9.929
-1.459 -0.084 10.030
-1.396 -0.140 9.887
-1.348 -0.087 9.986
-1.315 -0.047 9.985
-1.439 -0.113 10.150
-1.420 -0.130 9.995
-1.412 -0.059 10.144
-1.463 -0.126 9.946
-1.426 -0.116 10.010
-1.335 -0.067 10.028
-1.372 -0.079 10.085
-1.384 -0.118 10.126
-1.338 -0.054 10.052
-1.400 -0.035 10.053
-1.415 -0.081 10.011
-1.375 -0.102 10.035
-1.421 -0.132 10.008
-1.347 -0.103 10.047
-1.382 -0.126 10.047
-1.410 -0.054 10.000
-1.385 -0.059 9.968
-1.362 -0.054 10.122
-1.420 -0.117 10.100
-1.375 -0.091 9.960
-1.393 -0.104 10.080
