x y z
-0.314 -1.101 7.671
-3.069 -0.854 6.380
-2.948 -1.115 8.304
-1.418 -0.189 9.120
0.574 0.644 9.002
-0.636 1.140 18.943
-0.704 -0.179 5.177
-1.480 0.410 12.299
-1.619 0.313 3.069
0.155 -0.896 10.239
-3.642 -0.328 12.216
0.444 1.460 8.700
-2.381 0.424 14.814
-0.237 -0.635 2.739
-0.903 -2.223 15.139
-1.427 0.913 4.785
-0.711 -0.340 8.423
0.373 0.925 15.532
-2.774 1.192 8.794
-0.736 -0.282 5.390
-0.564 0.052 7.470
-0.242 0.441 7.229
-2.045 -0.567 14.250
0.147 1.429 8.237
-0.926 0.355 12.639
-1.346 -0.721 10.455
0.409 0.125 9.884
-2.200 1.414 11.669
-0.884 -0.773 7.381
-1.195 0.803 14.976
0.431 -0.581 9.292
-1.295 -0.345 9.841
-0.634 0.299 6.720
-1.273 1.038 12.288
0.729 -1.589 10.217
-2.270 0.430 8.979
-0.739 1.566 10.589
-1.606 -0.426 8.762
-1.414 -1.088 10.381
1.745 0.103 13.427
-1.970 0.915 7.755
-0.169 -0.322 10.303
-0.327 -0.355 11.496
-0.468 -0.060 6.778
-2.272 -0.075 11.502
-0.599 -0.111 6.145
-2.259 0.684 13.308
1.089 -1.947 8.496
1.351 -0.300 11.078
-1.450 1.980 11.637
-0.964 0.546 10.847
0.873 -1.173 8.862
-1.427 0.952 6.274
-2.621 -0.587 10.901
-1.787 -0.721 8.453
1.539 0.270 7.266
0.718 0.931 11.734
0.322 0.024 12.029
-1.508 1.838 10.610
-0.463 0.228 3.319
1.431 -0.491 8.026
-3.945 1.126 15.581
-1.977 -0.307 7.326
0.736 0.315 17.276
0.297 -0.541 7.787
0.638 0.516 16.960
-1.346 1.310 5.779
0.074 0.044 7.759
1.146 -0.724 7.537
-0.389 0.441 11.332
-3.491 0.280 8.693
0.068 0.421 10.973
0.846 -1.022 12.146
-0.009 -0.464 11.011
-2.012 1.775 14.713
-0.171 1.155 8.419
-0.551 -0.994 10.519
-0.787 0.829 7.541
-1.315 1.318 7.312
-1.886 -0.989 10.621
-0.005 -0.607 9.302
0.129 1.354 11.737
-0.132 -1.123 6.549
-0.559 1.600 13.421
-2.052 2.473 12.455
1.116 -0.905 7.911
1.832 -1.655 11.279
-2.888 0.257 10.781
-2.190 0.278 8.894
0.366 -1.360 10.289
0.013 -1.298 6.814
-1.124 3.015 19.600
-2.024 1.727 10.294
0.169 -0.127 6.890
-0.277 -0.498 8.435
