A_X[LSB] A_Y[LSB] A_Z[LSB]
-694 252 17023
-407 764 17042
-65 634 16671
-113 657 16833
-552 833 16562
-525 793 16675
-564 1270 16654
-509 1061 16871
-685 1330 16998
-511 1275 17043
-286 1496 17439
-344 1370 17006
-452 784 17271
-653 603 17080
-548 266 17132
-658 604 17414
-497 390 16813
-461 738 17066
-331 783 16515
-251 959 16715
-388 904 16406
-393 569 16389
-905 944 16842
-645 974 16744
-254 1539 17196
-134 1624 16850
-468 1412 17493
-681 1217 17054
-563 474 17135
-719 861 17208
-548 436 17063
-653 586 17153
-400 592 16719
-326 896 16968
-337 1035 16506
-309 704 16467
-436 978 16449
-570 1043 16431
-819 1507 16960
-711 1357 16551
-374 1428 17100
-161 1463 16832
-309 1162 17197
-612 761 17008
-640 379 17138
-728 476 17247
-554 460 17081
-422 707 17110
-348 701 16607
-452 748 16615
-376 770 16389
-365 751 16405
-485 1144 16809
-588 978 16484
-787 1302 17028
-397 1203 17014
-276 1518 17343
-182 1391 17117
-322 827 16924
-786 670 17421
-741 273 17207
-712 661 17283
-317 389 17182
-366 534 17110
-446 640 16798
-411 768 16621
-282 1079 16602
-238 803 16531
-717 1319 16533
-654 1310 16743
-738 1501 16883
-411 1426 16923
-154 1050 17007
-325 998 16935
-277 393 17206
-618 818 17410
-651 292 16870
-722 441 17305
-332 382 16609
-224 934 16896
-291 909 16155
-221 674 16393
-672 965 16660
-788 971 16454
-742 1248 16751
-417 1370 16416
-229 1570 17108
-416 1745 17020
-324 1135 17024
-573 1133 17100
-570 518 16897
-808 637 17309
-658 333 16944
-478 415 17119
-358 870 16812
-96 626 16758
-482 881 16631
-532 721 16659
-677 1246 16863
-552 1116 16652
-522 1140 17099
-563 1367 17017
-389 1398 17430
-422 1384 17049
-394 726 17167
-664 871 17444
-670 410 17126
-641 477 17303
-450 446 16913
-371 601 17103
-384 850 16541
-211 648 16372
-325 1024 16687
-386 596 16443
-904 991 16874
-654 1026 16772
-283 1523 17213
-148 1560 16912
-170 1239 16868
-627 1258 17239
-614 573 17044
-779 869 17240
-624 422 16921
-580 361 17268
-587 692 17038
-356 806 16770
-342 1051 16623
-255 605 16425
-555 1019 16529
-457 1080 16416
-634 1181 16577
-708 1298 16701
-446 1398 17050
-253 1492 16970
-218 1069 17119
-397 1037 17194
-598 485 16956
-758 447 17278
-517 486 17008
-370 724 17179
-359 756 16537
-323 518 16506
-561 851 16691
-437 754 16386
-476 1047 16848
-531 1039 16485
-705 1201 17100
-709 1386 16917
-354 1216 17082
-212 1466 17144
-266 834 16954
-772 780 17524
-771 347 17170
-635 304 17334
-607 491 17015
-363 374 17159
-432 725 16846
-336 659 16606
-404 993 16626
-410 1075 16599
-360 1089 16890
-634 1389 16626
-714 1317 16837
-585 1423 16879
-103 986 16940
-205 1272 17293
-274 941 17081
-641 669 17295
-706 333 16999
-637 392 17244
-451 563 16831
-278 417 16625
-201 826 16685
-141 713 16368
-549 1023 16760
-722 900 16504
-789 1185 16702
-673 1384 16711
-317 1397 16762
-408 1671 17083
-268 1198 16925
-536 1189 17124
-533 582 17031
-663 603 17227
-791 513 17119
-540 358 16970
-348 855 17007
-38 498 16700
-548 926 16603
-437 698 16471
-611 1075 16781
-504 1016 16600
-590 1111 17041
-658 1392 17053
-358 1412 17369
-330 1464 17303
-278 1047 17009
-676 891 17501
-711 465 17093
-563 389 17340
-432 491 16882
-446 403 16918
-556 773 17015
-288 627 16501
-267 1004 16705
-340 765 16406
-832 949 17015
-637 937 16655
-604 1107 16772
-224 1590 17000
-92 1362 16940
-523 1261 17345
-614 675 16997
-852 585 17223
-615 569 17007
-534 388 17276
-630 656 16965
-439 785 16750
-258 900 16593
-33 916 16429
-279 948 16691
-406 1111 16464
-673 1109 16540
-841 1382 16707
-412 1413 17040
-192 1675 17036
-13 1248 16832
-403 1106 17203
-619 489 16944
-737 410 17290
-624 487 16937
-464 297 16973
-460 667 16952
-286 533 16501
-484 906 16704
-415 723 16407
-512 1056 16822
-606 1144 16701
-608 1091 16804
-710 1448 16922
-349 1242 17025
-215 1376 17249
-302 924 17102
-700 858 17201
-718 643 17168
-575 230 17349
-644 488 17149
-376 284 17188
-432 700 16911
-264 622 16595
-223 958 16965
-410 1193 16489
-391 1056 16983
-661 1330 16404
-561 1355 16797
-505 1691 17223
-484 1400 17040
-281 1227 17353
-201 969 16883
-449 715 17387
-683 306 16979
-701 230 16849
-689 603 17163
-270 447 16623
-196 813 16705
-161 772 16200
-560 1105 16757
-822 965 16381
-884 847 16581
-799 1410 16640
-264 1407 16744
-340 1746 17087
-343 1141 16881
-569 1218 17327
-550 1003 17040
-631 595 17335
-795 520 17125
-598 387 17057
-296 803 16968
-41 891 16703
-248 797 16886
-467 810 16561
-528 974 16730
-496 1084 16640
-589 1118 17016
-610 1308 17227
-401 1243 16859
-328 1515 17379
-310 1020 17074
-645 881 17508
-662 440 17077
-602 474 17173
-553 536 17351
-448 390 16943
-516 777 17024
-351 790 16419
-263 983 16734
-351 530 16374
-501 605 16549
-903 971 16642
-590 1083 16743
-171 1548 17063
-100 1344 16896
-588 1338 17377
-627 1046 16759
-564 576 17287
-627 630 17068
-536 440 17318
-602 687 17032
-401 808 16856
-362 915 16967
-348 953 16447
-348 892 16702
-431 1025 16384
-632 1144 16544
-770 1389 16891
-617 1284 16631
-459 1593 17154
-92 1249 16792
-356 1159 17206
-588 583 17026
-814 428 17028
-804 469 17122
-464 381 16968
-343 703 17007
-309 598 16520
-521 908 16735
-452 772 16406
-444 769 16541
-641 1093 16672
-548 1055 16710
-685 1418 16894
-336 1237 17034
-277 1415 17446
-268 1376 17146
-404 806 17213
-833 714 17254
-636 251 17274
-649 558 17215
-381 404 17015
-505 621 17130
-317 616 16574
-339 875 16942
-451 1123 16532
-339 986 16823
-648 1290 16945
-537 1155 16889
-731 1594 17159
-474 1468 16974
-241 1218 17401
-213 1003 16974
-431 638 17136
-799 894 17448
-661 276 16898
-706 568 17265
-365 483 16645
-200 802 16924
-196 797 16284
-113 622 16443
-725 1034 16394
-776 794 16553
-738 1354 16737
-297 1351 16529
-442 1699 17054
-388 1500 16909
-391 1274 17328
-481 1037 16969
-617 706 17211
-771 451 17168
-596 338 17087
-469 574 17291
-219 918 16681
-205 760 16914
-496 812 16510
-576 892 16632
-556 1216 16760
-478 1003 16504
-672 1232 17107
-440 1266 16911
-211 1483 17477
-289 1156 17030
-642 777 17270
-755 675 17356
-577 222 17178
-583 627 17382
-370 409 17038
-512 730 17058
-342 764 16328
-137 721 16503
-377 1126 16463
-445 559 16416
-876 1010 16733
-552 978 16725
-297 1580 17187
-248 1649 16793
-118 1217 17234
-529 1048 16895
-603 612 17207
-730 666 17330
-576 444 16976
-538 430 17309
-458 654 16766
-435 922 17034
-336 958 16423
-264 839 16550
-437 966 16371
-519 1034 16472
-767 1330 16807
-667 1313 16631
-412 1532 17075
-138 1345 16920
-232 1065 17192
-461 1027 17224
-601 315 16876
-829 507 17365
-468 324 17017
-419 780 17114
-311 632 16620
-330 585 16509
-485 776 16526
-376 797 16568
-564 1142 16727
-630 979 16582
-695 1329 16935
-580 1433 16990
-255 1400 17180
-258 1352 17219
-335 723 17035
-750 702 17299
-694 204 17271
-830 486 17443
-498 376 17026
-319 588 17062
-339 687 16664
-399 789 16763
-419 1042 16478
-334 981 16636
-498 1307 17008
-673 1355 16864
-811 1514 17124
-479 1420 16812
-147 1087 17127
-331 1264 17407
-334 691 17183
-736 858 17363
-699 224 16982
-666 498 17390
-382 525 16599
-304 624 16644
-222 816 16444
-148 716 16449
-596 1033 16584
-799 812 16630
-843 1232 16752
-624 1407 16693
-97 1408 16931
-336 1679 17028
-424 1100 17173
-570 1029 17137
-603 614 17001
-720 629 17356
-806 552 17057
-478 506 17199
-341 889 16772
-169 650 16843
-416 890 16640
-392 795 16510
-588 1142 16909
-558 933 16504
-669 1242 17220
-416 1312 16941
-236 1587 17336
-234 1407 17268
-415 871 16983
-746 745 17508
-728 354 17088
-633 550 17402
-339 459 16909
-357 439 16914
-522 848 16855
-307 671 16536
-326 1000 16614
-327 585 16419
-912 972 16889
-842 1006 16740
-451 1172 16766
-181 1610 16979
-151 1159 16921
-624 1224 17158
-479 551 17110
-639 715 17263
-657 479 17015
-596 436 17380
-426 646 16891
-278 957 16886
-311 936 16579
-336 737 16511
-438 933 16764
-406 1130 16452
-629 1263 16789
-783 1321 16621
-453 1394 17053
-390 1706 17029
-51 1158 16874
-489 1107 17188
-628 441 16966
-807 453 17300
-579 479 17070
-453 459 17000
-326 736 16840
-206 530 16441
-587 915 16615
-431 695 16531
-572 1056 16765
-587 1048 16523
-626 1169 16917
-681 1432 16957
-325 1298 17098
-215 1427 17132
-337 817 17024
-555 870 17417
-794 618 17116
-654 374 17350
-541 501 17081
-264 414 17077
-354 794 16846
-325 644 16559
-425 932 17052
-351 1000 16623
-354 1242 16999
-600 1373 16733
-709 1378 16984
-689 1447 17163
-346 1345 16951
-331 1290 17390
-273 833 17115
-536 694 17338
-599 331 16980
-723 321 16907
-781 690 17088
-231 337 16591
-206 913 16571
-145 692 16345
-631 1021 16775
-668 823 16374
-781 872 16560
-649 1430 16633
-203 1448 16874
-348 1620 17077
-436 1173 16894
-537 1231 17374
-574 970 16919
-563 689 17436
-732 512 17027
-579 430 17078
-296 811 16894
-238 818 16821
-284 787 16897
-441 806 16524
-542 973 16863
-595 1112 16563
-589 1158 17154
-707 1403 17082
-279 1265 16995
-309 1469 17351
-361 965 17021
-638 821 17473
-757 507 17114
-607 137 17239
-612 512 17205
-361 431 16911
-442 775 17038
-383 724 16436
-359 946 16676
-408 1038 16361
-468 720 16610
-853 1029 16645
-531 1118 16800
-183 1533 17081
-127 1315 17008
-279 1354 17332
-607 953 16875
-562 622 17208
-603 576 17150
-644 357 17192
-617 746 17029
-336 561 16844
-272 1010 16876
-329 845 16536
-491 936 16786
-376 1068 16439
-569 1258 16652
-752 1442 17030
-722 1303 16799
-426 1620 17042
-59 1246 16851
-366 1087 17154
-649 548 17052
-644 318 17002
-759 498 17128
-426 338 16995
-405 759 16955
-213 472 16503
-536 908 16624
-386 755 16453
-493 842 16626
-680 1137 16638
-587 1047 16815
-700 1469 16898
-343 1209 17059
-310 1519 17381
-244 1366 17160
-446 831 17339
-834 674 17136
-670 209 17351
-606 533 17188
-330 436 17112
-382 658 17066
-362 629 16638
-355 820 16964
-469 1173 16542
-383 1059 16893
-610 1334 16944
-546 1169 16990
-749 1679 17240
-476 1421 16975
-272 1200 17456
-271 993 16826
-200 558 17169
-754 846 17328
-710 244 16971
-740 552 17195
-258 454 16600
-144 834 16818
-235 947 16282
-258 592 16471
-723 957 16391
-710 792 16574
-785 1431 16718
-311 1335 16751
-230 1544 17012
-299 1520 16864
-490 1214 17308
-663 1048 16969
-562 599 17197
-766 558 17093
-671 414 17090
-586 658 17261
-254 787 16686
-101 737 16948
-437 935 16500
-530 857 16847
-717 1228 16783
-510 883 16586
-636 1324 17202
-382 1281 17018
-268 1493 17420
-323 1146 17006
-378 715 17038
-811 698 17375
-635 220 17180
-562 553 17347
-397 436 16894
-528 781 17220
-508 793 16636
-280 704 16641
-327 956 16422
-488 685 16442
-810 873 16677
-537 1112 16767
-404 1405 17072
-226 1709 16850
-111 1263 17139
-595 1066 16895
-616 610 17160
-702 691 17273
-631 452 17008
-567 426 17376
-441 599 16847
-396 979 16970
-345 854 16497
-321 846 16505
-408 1025 16760
-522 1061 16550
-786 1300 16944
-664 1345 16634
-453 1669 17105
-78 1240 16928
-207 1132 16916
-453 986 17273
-616 390 16942
-821 445 17273
-480 363 17107
-410 740 17041
-318 741 16708
-294 599 16474
-492 727 16577
-439 765 16482
-627 1177 16680
-549 889 16675
-650 1106 17082
-570 1422 16967
-290 1498 17289
-305 1426 17264
-325 716 17083
-757 778 17161
-749 594 17180
-847 523 17440
-495 355 17082
-296 574 17017
-328 757 16652
-389 723 16833
-470 882 16876
-278 809 16510
-580 1394 17052
-600 1288 16817
-701 1586 17100
-469 1513 16832
-363 1150 16901
-376 1171 17386
-285 753 17255
-708 879 17358
-649 237 16979
-764 539 17349
-573 571 17070
-287 593 16677
-165 883 16377
-186 703 16468
-623 925 16512
-807 891 16661
-790 969 16512
-589 1438 16671
-167 1419 16894
-368 1666 17112
-467 1125 17052
-584 1150 17167
-536 766 16959
-672 625 17471
-774 462 17036
-567 603 17267
-265 822 16761
-58 661 16860
-329 918 16797
-435 837 16595
-650 1219 16829
-545 930 16528
-697 1238 17183
-449 1410 17059
-337 1323 17075
-246 1366 17272
-294 823 17069
-730 829 17454
-736 285 17278
-751 525 17405
-537 447 17237
-310 461 16991
-430 861 16868
-295 710 16446
-411 985 16625
-430 560 16392
-631 825 16719
-776 1001 16676
-484 1275 16769
-225 1575 16928
-93 1161 17044
-565 1235 17156
-640 1008 16968
-653 679 17216
-547 508 17094
-571 383 17364
-591 701 16990
-326 872 16921
-210 863 16896
-204 802 16356
-498 1083 16802
-510 1028 16522
-712 1242 16709
-654 1381 16580
-516 1354 16950
-376 1692 17080
-94 1161 16835
-445 1040 17198
-640 372 17020
-878 395 17317
-744 485 16995
-380 455 16967
-295 787 16874
-261 468 16399
-537 899 16596
-418 711 16514
-458 827 16695
-672 1079 16628
-672 1086 16792
-601 1446 17025
-259 1324 17000
-259 1438 17240
-256 1141 17104
-547 874 17440
-732 638 17190
-730 429 17407
-579 434 17039
-264 470 17169
-359 815 17107
-267 661 16584
-386 918 16932
-322 1004 16664
-469 1238 16989
-625 1333 16648
-638 1160 16872
-597 1411 17232
-412 1363 16937
-329 1246 17409
-301 835 17142
-563 765 17269
-736 704 17228
-720 353 16904
-718 621 17087
-224 471 16575
-179 880 16571
-163 731 16376
-240 824 16575
-723 976 16360
-818 823 16584
-682 1372 16750
-164 1373 16765
-393 1752 17097
-308 1365 16858
-567 1251 17380
-484 859 17061
-676 698 17367
-788 490 17128
-632 442 17191
-448 655 17335
-150 768 16674
-272 927 16985
-442 720 16604
-655 1043 16854
-576 1055 16592
-575 982 16678
-703 1310 17119
-344 1217 16982
-261 1436 17292
-317 985 17080
-686 802 17465
-739 542 17203
-652 180 17096
-538 546 17298
-311 446 16970
-493 888 17016
-335 696 16476
-323 804 16629
-348 998 16429
-546 716 16565
-875 965 16600
-539 1146 16767
-105 1551 17066
-151 1701 16834
-217 1271 17393
-686 1000 16929
-614 560 17174
-680 662 17172
-552 382 17244
-642 607 17281
-275 542 16795
-388 1005 16931
-328 836 16447
-493 924 16770
-388 1074 16431
-495 1106 16621
-781 1387 16887
-666 1339 16873
-447 1605 17011
-75 1236 16891
-385 1083 17176
-605 941 17097
-609 286 17069
-777 535 17064
-423 358 17058
-377 760 16973
-240 532 16569
-326 652 16621
-444 777 16433
-517 780 16707
-643 1066 16640
-567 1072 16771
-676 1467 16970
-532 1307 17080
-283 1494 17373
-221 1383 17180
-481 813 17295
-856 620 17100
-653 278 17306
-789 634 17410
-355 436 17094
-373 563 17055
-369 680 16676
-317 813 17038
-477 1117 16560
-316 806 16579
-619 1270 16962
-534 1269 16833
-610 1590 17235
-522 1420 16897
-308 1140 17366
-371 1122 17121
-200 542 17216
-736 827 17343
-703 251 16895
-689 537 17218
-311 474 16575
-305 768 16753
-200 834 16318
-214 712 16506
-688 1007 16368
-727 836 16648
-751 1418 16716
-400 1412 16519
-234 1564 17041
-423 1490 16996
-430 1189 17245
-491 1041 16988
-550 557 17227
-808 601 17427
-814 338 17119
-483 587 17280
-203 829 16733
-215 764 16856
-488 808 16522
-427 698 16598
-633 1260 16866
-548 906 16574
-763 1324 17154
-355 1262 17080
-186 1508 17389
-235 1435 17247
-431 717 16999
-827 615 17422
-628 181 17177
-610 585 17430
-354 414 16932
-343 441 17071
-421 784 16704
-227 800 16644
-364 1012 16568
-527 620 16498
-856 923 16697
-691 1032 16803
-388 1437 16948
-207 1657 16905
-204 1178 17173
-559 1115 16822
-533 599 17177
-755 865 17326
-681 324 16953
-583 374 17324
-395 715 16754
-375 983 17072
-384 879 16569
-338 659 16446
-425 1035 16833
-522 1135 16533
-755 1326 17021
-687 1273 16621
-408 1607 17078
-322 1721 17081
-182 1157 16975
-448 895 17165
-690 370 16898
-775 386 17240
-492 349 17145
-422 508 16946
-264 808 16723
-247 530 16484
-488 786 16652
-434 684 16519
-604 1229 16812
-600 1111 16594
-692 1220 17063
-585 1391 17033
-303 1499 17228
-178 1488 17215
-378 734 17189
-763 829 17482
-822 484 17193
-730 495 17394
-436 478 17021
-298 508 17041
-387 731 16701
-316 607 16679
-383 939 16831
-368 972 16629
-520 1268 17042
-602 1285 16832
-719 1616 17048
-540 1406 17103
-368 1248 16959
-324 1132 17487
-302 739 17086
-680 864 17409
-638 229 16922
-665 354 17117
-564 619 16973
-286 580 16687
-267 830 16402
-172 698 16427
-610 1023 16540
-726 977 16427
-749 895 16559
-634 1459 16656
-219 1404 16962
-365 1601 17032
-452 1220 17082
-550 1189 17393
-563 812 16918
-674 641 17427
-753 470 17090
-536 538 17218
-251 835 16776
-109 658 16698
-340 864 16833
-447 811 16560
-551 1167 16911
-529 978 16469
-740 1257 17161
-736 1325 17087
-331 1262 17049
-233 1445 17307
-328 866 17046
-764 750 17486
-700 316 17278
-637 248 17215
-529 425 17151
-339 422 17007
-394 837 16906
-248 730 16593
-355 1000 16548
-404 885 16408
-656 779 16815
-763 1033 16619
-444 1316 16829
-214 1656 16869
-81 1215 17063
-358 1432 17396
-525 929 16941
-714 710 17219
-694 483 17043
-497 358 17349
-491 819 16885
-235 597 16804
-467 992 16826
-335 621 16475
-442 1095 16803
-315 1063 16434
-667 1300 16885
-817 1420 16952
-639 1288 17013
-367 1708 17015
-115 1253 17015
-434 1030 17269
-659 403 16926
-644 334 17210
-729 549 17064
-398 392 17008
-283 717 16821
-268 532 16463
-503 791 16623
-486 737 16417
-405 821 16690
-546 1109 16629
-676 1167 16871
-685 1407 16979
-305 1293 17047
-176 1509 17535
-219 1269 17133
-637 937 17518
-865 566 17216
-760 503 17342
-440 453 17046
-342 434 17139
-364 610 17018
-267 624 16623
-334 901 16929
-389 1005 16677
-507 1249 17005
-631 1274 16624
-565 1159 16854
-673 1501 17198
-433 1296 17054
-286 1220 17404
-256 870 17086
-344 534 17354
-715 628 17133
-766 379 17058
-582 602 16945
-314 603 16641
-267 803 16543
-377 928 16199
-221 894 16599
-661 1046 16332
-770 855 16588
-716 1365 16611
-198 1342 16910
-266 1696 17142
-211 1297 16917
-560 1221 17334
-529 862 17032
-594 560 17358
-786 561 17113
-702 275 17115
-505 663 17237
-190 708 16766
-255 923 16896
-422 789 16466
-580 1074 16940
-656 1280 16847
-551 959 16668
-688 1405 17029
-408 1345 17038
-258 1389 17393
-321 962 16967
-423 742 17210
-780 642 17204
-631 148 17164
-538 482 17334
-378 404 16945
-450 874 16994
-339 806 16496
-246 870 16706
-363 998 16425
-622 724 16565
-893 906 16605
-531 1128 16790
-309 1534 17273
-164 1640 16942
-271 1327 17315
-615 988 16994
-645 591 17274
-677 599 17085
-557 305 16975
-660 673 17284
-316 528 16836
-311 942 16906
-336 872 16522
-424 974 16795
-456 1033 16650
-501 968 16468
-799 1435 16984
-626 1289 16805
-449 1662 17117
-22 1173 16832
-214 1173 17094
-582 961 17134
-682 330 17086
-768 546 17100
-477 395 16954
-313 804 17018
-303 790 16616
-302 713 16632
-471 807 16425
-521 763 16675
-622 1079 16621
-520 1090 16815
-613 1298 17116
-546 1328 16993
-293 1453 17475
-239 1324 17159
-423 920 17311
-846 668 17227
-924 414 17275
-827 521 17522
-338 490 17019
-383 764 17091
-351 650 16655
-338 829 16965
-318 994 16893
-334 927 16523
-726 1285 17003
-577 1106 17005
-614 1642 17117
-408 1498 17033
-53 1118 16900
-313 986 17333
-232 584 17145
-733 901 17381
-666 250 16960
-767 629 17165
-447 525 16804
-236 811 16803
-262 921 16158
-265 656 16476
-806 1019 16270
-711 771 16621
-767 1121 16483
-402 1371 16560
-241 1489 17031
-386 1436 16961
-369 1152 17385
-548 1101 16963
-624 600 17085
-862 624 17432
-654 289 17170
-487 751 17322
-237 872 16679
-229 691 16888
-503 925 16837
-398 726 16662
-659 1313 16787
-582 864 16536
-754 1291 17263
-278 1177 16892
-107 1437 17144
-209 1403 17175
-463 628 17213
-788 638 17311
-552 285 17151
-567 596 17408
-475 485 17066
-386 403 17022
-532 855 16648
-197 752 16580
-400 1077 16582
-431 544 16411
-820 873 16850
-723 1013 16758
-403 1506 17059
-133 1621 16908
-77 1261 17140
-600 1149 16863
-692 827 17089
-832 748 17291
-588 393 16959
-485 512 17378
-494 681 16773
-363 843 17001
-399 939 16672
-261 651 16357
-403 1035 16834
-469 1019 16559
-813 1306 16859
-728 1360 16688
-343 1311 17082
-264 1639 17146
-174 1099 16910
-578 1017 17256
-579 287 17023
-780 497 17219
-512 556 16974
-389 567 17102
-297 721 16680
-235 554 16537
-484 825 16609
-491 696 16628
-628 868 16855
-542 1034 16574
-600 1238 17054
-590 1470 17049
-298 1372 17218
-199 1391 17225
-279 1035 17156
-675 917 17537
-817 518 17140
-753 551 17478
-523 448 17045
-326 494 17092
-362 743 16986
-211 658 16641
-362 955 16811
-401 870 16681
-640 1315 17069
-598 1249 16750
-635 1656 16935
-518 1460 17070
-328 1182 16987
-379 1140 17316
-305 741 17240
-680 843 17241
-697 271 17035
-757 372 17068
-531 571 17058
-202 619 16560
-250 932 16505
-181 597 16392
-638 1174 16848
-651 940 16335
-781 1065 16581
-581 1340 16661
-261 1434 16924
-311 1593 17031
-416 1213 16772
-556 1228 17397
-468 681 16984
-717 645 17386
-746 415 17181
-565 557 17287
-298 911 17182
-118 618 16655
-432 978 16845
-408 748 16609
-682 1175 16886
-573 991 16522
-672 1230 16829
-719 1420 17099
-279 1274 17133
-131 1368 17204
-341 848 16932
-779 708 17596
-715 245 17147
-561 209 17149
-448 552 16969
-427 420 17037
-516 766 16872
-253 803 16462
-251 1069 16838
-368 942 16485
-813 831 16832
-768 1001 16705
-367 1329 16835
-206 1653 16961
-73 1116 16965
-344 1352 17466
-546 866 16926
-738 792 17231
-667 386 16966
-573 470 17372
-413 692 17208
-260 621 16658
-382 962 16785
-264 633 16456
-440 1101 16781
-392 1123 16541
-715 1238 16522
-826 1461 16957
-496 1266 16958
-413 1793 17034
-68 1076 16849
-465 1075 17155
-624 359 17112
-733 405 17210
-791 502 16928
-450 443 17031
-336 719 16780
-279 516 16509
-469 825 16692
-492 847 16491
-493 814 16874
-613 1096 16621
-557 1154 16979
-534 1491 17090
-357 1385 17023
-295 1482 17527
-259 1106 17089
-544 951 17602
-747 567 17220
-774 454 17403
-488 351 17414
-469 463 17068
-354 747 17134
-284 646 16577
-317 893 16896
-288 1048 16723
-480 1222 17055
-616 1298 16679
-608 1065 16914
-708 1538 17158
-379 1296 16945
-267 1284 17335
-311 938 17384
-366 575 17183
-824 604 17167
-704 309 17041
-585 675 17041
-303 529 16570
-182 762 16396
-210 853 16258
-224 887 16665
-714 971 16310
-894 834 16624
-711 1430 16681
-156 1464 16778
-241 1737 17095
-310 1328 16839
-515 1207 17455
-539 871 16925
-659 679 17444
-790 457 17026
-645 204 17082
-434 680 17170
-203 739 16743
-309 862 16989
-396 757 16495
-528 1079 16914
-685 1310 16754
-567 989 16781
-660 1305 17123
-347 1366 16997
-203 1452 17311
-362 963 17013
-456 677 17318
-766 569 17136
-560 182 17174
-513 490 17262
-339 355 16927
-485 891 17011
-412 806 16546
-257 898 16728
-368 980 16430
-580 781 16673
-848 990 16612
-465 1209 16798
-332 1607 17216
-149 1648 16901
-271 1392 17421
-604 943 16879
-725 621 17221
-693 520 17104
-589 360 17013
-534 596 17231
-339 564 16767
-382 910 16877
-264 781 16495
-385 966 16744
-430 1040 16591
-483 959 16531
-781 1496 16955
-573 1318 16785
-480 1756 17057
-101 1142 16869
-236 1090 17061
-481 897 17121
-649 371 17112
-849 508 17147
-405 334 17053
-283 729 16874
-269 750 16626
-376 742 16724
-459 737 16474
-464 866 16604
-577 1168 16648
-613 1058 16859
-714 1238 17165
-473 1303 16947
-280 1519 17383
-311 1341 17299
-496 810 17380
-770 672 17258
-772 363 17306
-839 667 17482
-433 366 17134
-372 677 17087
-270 699 16596
-337 944 16998
-380 1014 16702
-305 768 16554
-677 1336 16742
-617 1199 17020
-697 1550 17235
-375 1419 17017
-100 1020 16990
-386 1127 17095
-287 487 17232
-697 779 17246
-628 231 16993
-765 654 17144
-515 484 16729
-316 839 16902
-184 939 16144
-253 887 16570
-725 959 16253
-761 780 16542
-837 1222 16641
-466 1385 16484
-270 1594 17096
-298 1346 16855
-510 1253 17440
-547 932 16908
-464 565 17005
-744 646 17319
-718 309 17147
-497 628 17234
-267 868 16720
-253 769 16961
-486 958 16655
-451 714 16772
-618 1284 16847
-566 1004 16520
-742 1382 17265
-370 1170 16874
-228 1375 17419
-192 1377 17031
-390 730 17236
-801 514 17267
-702 185 17179
-457 529 17409
-377 544 16941
-309 532 17180
-432 810 16570
-285 861 16689
-320 1076 16463
-515 788 16509
-788 830 17011
-779 1019 16682
-390 1515 17249
-124 1664 16918
-201 1286 17256
-582 1050 16940
-615 710 17087
-808 797 17363
-597 429 16924
-585 525 17224
-367 572 16810
-360 977 16927
-386 1059 16623
-265 587 16298
-462 1010 16667
-529 1012 16593
-742 1397 16895
-668 1326 16760
-445 1345 17141
-245 1537 17050
-176 1179 17018
-552 975 17087
-626 310 17122
-775 457 17102
-640 482 17059
-436 714 17179
-311 777 16710
-347 669 16658
-436 780 16500
-375 841 16624
-493 1007 16839
-552 992 16572
-665 1226 17108
-442 1329 17045
-252 1428 17458
-282 1391 17162
-213 852 16997
-754 855 17556
-723 269 17308
-831 731 17429
-426 437 17020
-414 593 17126
-411 706 16977
-330 707 16669
-312 1034 16703
-286 783 16520
-714 1338 16903
-639 1163 16901
-608 1291 16861
-394 1410 16901
-220 1048 17013
-415 1052 17129
-284 553 17203
-636 841 17392
-643 469 16937
-761 384 17299
-546 544 16809
-201 810 16791
-190 974 16362
-254 743 16397
-538 964 16821
-802 938 16436
-773 1221 16756
-453 1287 16439
-255 1618 17156
-291 1358 16986
-350 1179 16888
-539 1089 17257
-520 676 16929
-691 549 17438
-644 330 17049
-539 666 17193
-392 768 16916
-113 595 16724
-364 911 16682
-388 847 16670
-594 1202 16825
-604 950 16561
-611 1084 17112
-624 1363 17105
-261 1428 17303
-245 1409 17139
-423 731 17127
-810 514 17341
-799 526 17117
-598 413 17297
-439 487 17009
-332 487 17079
-445 743 16651
-342 896 16653
-286 1026 16769
-282 707 16526
-781 952 16957
-799 1013 16781
-475 1534 17177
-135 1639 16883
-128 1393 16895
-505 1324 17334
-642 709 17120
-845 825 17314
-613 346 17044
-567 537 17165
-542 711 17058
-360 764 16799
-342 1001 16657
-263 589 16410
-513 1059 16617
-445 1004 16589
-518 1106 16501
-734 1406 16696
-491 1301 17130
-439 1568 16989
-136 1084 17117
-500 928 17095
-487 533 17038
-881 453 17333
-734 460 17032
-347 652 17232
-315 820 16602
-332 589 16668
-516 785 16711
-462 748 16452
-571 1095 16857
-535 974 16486
-640 1244 17157
-501 1257 16976
-453 1226 17037
-311 1424 17328
-216 849 17138
-554 756 17501
-704 445 17385
-825 584 17517
-642 473 17264
-298 301 17083
-374 868 16969
-235 656 16610
-367 994 16690
-331 795 16510
-447 1138 16901
-642 1281 16532
-591 1269 16808
-514 1362 16891
-217 992 16967
-360 1095 17150
-293 972 16991
-427 669 17217
-672 398 17013
-724 422 17194
-483 476 16808
-268 792 16817
-237 883 16876
-231 812 16393
-465 998 16718
-740 1012 16517
-868 1118 16558
-555 1374 16658
-310 1294 16708
-315 1723 17073
-269 1153 16818
-635 1172 17262
-473 579 16982
-697 653 17410
-707 558 17141
-605 408 16971
-318 722 17107
