18166,9401,12102,92601,57281,81005,254472,258653,257039
22147,24017,19480,85877,72059,99029,255849,263288,266568
22225,26637,20646,100196,76941,100395,276542,268748,267266
10131,9056,9930,76707,72954,91350,253920,261106,251893
20339,15831,20456,99320,75977,98644,267685,269429,266927
22014,22321,22103,97441,71158,90579,271676,270141,271541
16676,17463,11026,78239,61986,91308,254046,254776,253309
17907,13415,18283,97925,72097,87592,264382,266740,264281
15151,22822,28443,97165,75834,102054,260842,272117,270791
14047,17444,9820,98146,64658,91345,272979,258125,251335
22942,14492,16773,112608,75129,90626,276626,263911,268161
25612,23530,21888,94917,79017,101529,270219,266111,274797
9653,18698,11011,99537,70309,91312,258299,268645,247102
18475,16198,18956,95058,72463,86690,265547,269926,260111
23956,22680,26574,88999,70637,101127,274486,272030,263984
10916,17423,10234,89823,65088,91363,255448,264101,248131
23781,11758,18502,83444,77629,88480,267195,272380,263866
25108,21417,24408,106036,80567,101903,273656,273057,270036
9296,20655,11078,79173,58687,91364,262081,257428,253362
20641,14029,21118,94190,78318,97913,265564,265121,263869
22859,23108,24146,106269,81032,91221,276555,275351,270368
10123,18736,10629,75040,70065,91272,268345,263704,272524
25721,16269,18929,97568,76048,89444,265160,274347,269555
27885,23436,23871,95694,82168,100142,275685,278113,276629
9737,15074,9967,76525,64023,91604,255335,265060,255348
21366,22276,18286,101333,76130,95428,268155,272215,265942
23975,17523,26952,97557,78624,88343,274253,276260,271290
9498,17603,11131,76192,62455,91310,249891,246627,255621
24064,13465,20212,98979,83484,86597,267616,263741,264394
26969,21578,23284,96654,87098,102419,273093,269678,261891
