W (4036) main: 2,623, us,,623,582,631,1643,1229,1308,6186,3595,4642,596,556,585,1600,1148,1189,5110,3285,4346
W (5036) main: 2,508, us,,508,450,485,1548,1089,1183,5107,3391,3654,485,432,449,1473,1015,1065,4986,3145,3288
W (6036) main: 2,492, us,,492,442,499,1469,1110,1137,5869,3380,3602,492,450,472,2406,1012,1042,4965,3146,3323
W (7046) main: 2,5779, us,,465,414,426,6597,1039,1105,10646,3424,3581,462,393,408,1433,993,1076,4946,3161,3794
W (8036) main: 2,533, us,,533,398,429,1553,1039,1105,5157,3334,3594,451,391,410,1420,980,1018,4948,3095,3370
W (9036) main: 2,465, us,,465,411,431,2370,1092,6496,5049,8147,4905,458,391,435,1428,986,1060,4981,3111,4056
W (10046) main: 2,5671, us,,620,431,464,6493,1075,1225,5155,10062,3664,477,445,464,7018,1002,1076,4991,3124,3260
W (11036) main: 2,544, us,,544,401,431,1545,6127,1117,10591,8738,3583,602,390,399,1515,981,1069,4951,3097,3238
W (12036) main: 2,460, us,,460,438,431,1466,1139,1148,5209,8984,3765,530,394,409,1433,1013,1024,4966,3097,3270
W (13036) main: 2,461, us,,461,378,436,1471,1037,1122,5041,9026,3645,470,392,423,1435,984,1018,4955,3097,3230
W (14036) main: 2,465, us,,,,,,,,,,,,,,,,,,,
W (15036) main: 2,465, us,Priemery:,518,435,467,2616,1598,1695,6401,6209,3864,503,424,446,2117,1012,1064,4980,3136,3518
W (16036) main: 2,465, us,,,,,,,,,,,,,,,,,,,
W (17036) main: 2,461, us,,,,,,,,,,,,,,,,,,,
W (18036) main: 2,460, us,,,,,,,,,,,,,,,,,,,
W (19036) main: 2,476, us,,,,,,,,,,,,,,,,,,,
W (20036) main: 2,1295, us,,,,,,,,,,,,,,,,,,,
W (21036) main: 2,620, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 2,582, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 2,450, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 2,442, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 2,414, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 2,398, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 2,411, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 2,431, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 2,401, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 2,438, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 2,378, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 2,402, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 2,406, us,,,,,,,,,,,,,,,,,,,
W (16037) main: 2,398, us,,,,,,,,,,,,,,,,,,,
W (17037) main: 2,397, us,,,,,,,,,,,,,,,,,,,
W (18037) main: 2,573, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 2,631, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 2,485, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 2,499, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 2,426, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 2,429, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 2,431, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 2,464, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 2,431, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 2,431, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 2,436, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 2,478, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 2,426, us,,,,,,,,,,,,,,,,,,,
W (16037) main: 2,430, us,,,,,,,,,,,,,,,,,,,
W (17037) main: 2,433, us,,,,,,,,,,,,,,,,,,,
W (18037) main: 2,611, us,,,,,,,,,,,,,,,,,,,
W (5041) main: 2,1643, us,,,,,,,,,,,,,,,,,,,
W (6041) main: 2,1548, us,,,,,,,,,,,,,,,,,,,
W (7041) main: 2,1469, us,,,,,,,,,,,,,,,,,,,
W (8051) main: 2,6597, us,,,,,,,,,,,,,,,,,,,
W (9041) main: 2,1553, us,,,,,,,,,,,,,,,,,,,
W (10041) main: 2,2370, us,,,,,,,,,,,,,,,,,,,
W (11051) main: 2,6493, us,,,,,,,,,,,,,,,,,,,
W (12041) main: 2,1545, us,,,,,,,,,,,,,,,,,,,
W (13041) main: 2,1466, us,,,,,,,,,,,,,,,,,,,
W (14041) main: 2,1471, us,,,,,,,,,,,,,,,,,,,
W (15041) main: 2,1631, us,,,,,,,,,,,,,,,,,,,
W (4041) main: 2,1229, us,,,,,,,,,,,,,,,,,,,
W (5041) main: 2,1089, us,,,,,,,,,,,,,,,,,,,
W (6041) main: 2,1110, us,,,,,,,,,,,,,,,,,,,
W (7041) main: 2,1039, us,,,,,,,,,,,,,,,,,,,
W (8041) main: 2,1039, us,,,,,,,,,,,,,,,,,,,
W (9041) main: 2,1092, us,,,,,,,,,,,,,,,,,,,
W (10041) main: 2,1075, us,,,,,,,,,,,,,,,,,,,
W (11051) main: 2,6127, us,,,,,,,,,,,,,,,,,,,
W (12041) main: 2,1139, us,,,,,,,,,,,,,,,,,,,
W (13041) main: 2,1037, us,,,,,,,,,,,,,,,,,,,
W (14041) main: 2,1040, us,,,,,,,,,,,,,,,,,,,
W (15051) main: 2,5952, us,,,,,,,,,,,,,,,,,,,
W (16041) main: 2,1120, us,,,,,,,,,,,,,,,,,,,
W (17051) main: 2,6142, us,,,,,,,,,,,,,,,,,,,
W (18041) main: 2,1117, us,,,,,,,,,,,,,,,,,,,
W (19041) main: 2,1186, us,,,,,,,,,,,,,,,,,,,
W (4041) main: 2,1308, us,,,,,,,,,,,,,,,,,,,
W (5041) main: 2,1183, us,,,,,,,,,,,,,,,,,,,
W (6041) main: 2,1137, us,,,,,,,,,,,,,,,,,,,
W (7041) main: 2,1105, us,,,,,,,,,,,,,,,,,,,
W (8041) main: 2,1105, us,,,,,,,,,,,,,,,,,,,
W (9051) main: 2,6496, us,,,,,,,,,,,,,,,,,,,
W (10041) main: 2,1225, us,,,,,,,,,,,,,,,,,,,
W (11041) main: 2,1117, us,,,,,,,,,,,,,,,,,,,
W (12041) main: 2,1148, us,,,,,,,,,,,,,,,,,,,
W (13041) main: 2,1122, us,,,,,,,,,,,,,,,,,,,
W (14041) main: 2,1100, us,,,,,,,,,,,,,,,,,,,
W (15041) main: 2,1106, us,,,,,,,,,,,,,,,,,,,
W (16041) main: 2,1115, us,,,,,,,,,,,,,,,,,,,
W (17041) main: 2,1114, us,,,,,,,,,,,,,,,,,,,
W (18041) main: 2,1109, us,,,,,,,,,,,,,,,,,,,
W (19041) main: 2,1100, us,,,,,,,,,,,,,,,,,,,
W (20041) main: 2,1104, us,,,,,,,,,,,,,,,,,,,
W (21041) main: 2,1433, us,,,,,,,,,,,,,,,,,,,
W (4126) main: 2,6186, us,,,,,,,,,,,,,,,,,,,
W (5136) main: 2,5107, us,,,,,,,,,,,,,,,,,,,
W (6146) main: 2,5869, us,,,,,,,,,,,,,,,,,,,
W (7156) main: 2,10646, us,,,,,,,,,,,,,,,,,,,
W (8156) main: 2,5157, us,,,,,,,,,,,,,,,,,,,
W (9166) main: 2,5049, us,,,,,,,,,,,,,,,,,,,
W (10166) main: 2,5155, us,,,,,,,,,,,,,,,,,,,
W (11176) main: 2,10591, us,,,,,,,,,,,,,,,,,,,
W (12186) main: 2,5209, us,,,,,,,,,,,,,,,,,,,
W (13186) main: 2,5041, us,,,,,,,,,,,,,,,,,,,
W (14196) main: 2,5033, us,,,,,,,,,,,,,,,,,,,
W (15196) main: 2,5908, us,,,,,,,,,,,,,,,,,,,
W (16196) main: 2,5044, us,,,,,,,,,,,,,,,,,,,
W (17206) main: 2,5047, us,,,,,,,,,,,,,,,,,,,
W (18206) main: 2,5237, us,,,,,,,,,,,,,,,,,,,
W (19216) main: 2,5051, us,,,,,,,,,,,,,,,,,,,
W (20216) main: 2,5034, us,,,,,,,,,,,,,,,,,,,
W (21226) main: 2,5053, us,,,,,,,,,,,,,,,,,,,
W (22226) main: 2,5047, us,,,,,,,,,,,,,,,,,,,
W (23226) main: 2,5041, us,,,,,,,,,,,,,,,,,,,
W (24236) main: 2,5119, us,,,,,,,,,,,,,,,,,,,
W (25266) main: 2,6063, us,,,,,,,,,,,,,,,,,,,
W (4136) main: 2,3595, us,,,,,,,,,,,,,,,,,,,
W (5136) main: 2,3391, us,,,,,,,,,,,,,,,,,,,
W (6146) main: 2,3380, us,,,,,,,,,,,,,,,,,,,
W (7156) main: 2,3424, us,,,,,,,,,,,,,,,,,,,
W (8156) main: 2,3334, us,,,,,,,,,,,,,,,,,,,
W (9166) main: 2,8147, us,,,,,,,,,,,,,,,,,,,
W (10176) main: 2,10062, us,,,,,,,,,,,,,,,,,,,
W (11176) main: 2,8738, us,,,,,,,,,,,,,,,,,,,
W (12186) main: 2,8984, us,,,,,,,,,,,,,,,,,,,
