W (4036) main: 2,1016, us,,1016,972,1054,2046,1599,1742,5253,4141,4437,1020,969,1013,1844,1471,1181,5374,3521,3683
W (4036) main: 0,1072, us,,1072,1019,1111,2086,1640,1787,6449,2920,4458,1020,988,1037,1898,1502,710,4791,3554,2958
W (4036) main: 1,169, us,,169,132,130,1126,712,761,11021,7844,3134,155,117,120,1149,715,1184,10767,2830,3716
W (5036) main: 2,207, us,,207,305,140,1115,712,789,5126,3087,3159,171,134,138,1148,705,1053,4986,2846,2928
W (5036) main: 1,163, us,,163,112,117,1520,1103,763,9173,3511,4651,151,107,120,1464,1019,814,4620,3198,3259
W (5036) main: 0,632, us,,632,654,546,1124,722,2094,4612,2922,6533,1377,487,517,1145,702,902,9369,2836,2914
W (6036) main: 2,191, us,,191,128,247,1116,716,822,5085,3026,3167,168,129,268,1163,700,1044,4631,3165,2997
W (6036) main: 1,148, us,,148,108,128,1498,1081,1220,4563,3548,3625,150,108,113,1469,999,717,4973,2827,3323
W (6036) main: 0,565, us,,565,492,735,1119,722,766,9317,2932,3096,527,455,650,1130,696,714,4620,5774,2920
W (7046) main: 2,3797, us,,3797,262,137,5717,715,755,10902,3415,3155,177,130,132,1144,764,1015,4684,2878,3246
W (7046) main: 0,7891, us,,7891,123,122,9436,1052,1116,11396,6335,3572,155,114,122,1433,1039,722,4987,3358,2922
W (7046) main: 1,6397, us,,6397,641,519,8498,3635,772,14522,6148,3118,509,447,457,1132,703,734,7614,2815,5969
W (8036) main: 2,590, us,,590,129,131,1439,1055,849,5065,5995,3322,167,130,157,1490,696,1018,5091,2832,3037
W (8036) main: 1,168, us,,168,105,113,1715,713,1167,11090,11727,3728,153,116,120,1281,973,806,4703,3117,3305
W (8046) main: 0,6066, us,,6066,455,477,1115,6893,751,7417,18860,3152,505,446,483,6153,696,801,9823,2815,2949
W (9036) main: 2,326, us,,326,129,131,1114,902,752,5354,3387,3668,167,130,219,1326,699,1029,4625,2809,2918
W (9036) main: 0,762, us,,762,111,112,6846,1289,1108,4524,6187,3043,148,114,125,1573,973,721,5871,3106,3245
W (9046) main: 1,2884, us,,2884,455,483,7499,722,756,12739,10545,6418,496,447,584,1149,702,734,4629,2827,2976
W (10036) main: 0,825, us,,825,128,131,1477,711,746,5379,5781,3146,169,129,132,1163,708,1037,4992,3151,2985
W (10036) main: 1,266, us,,266,112,120,2625,1074,1132,4535,14220,4539,143,111,112,1466,996,760,4622,2791,3373
W (10046) main: 2,3995, us,,3995,491,527,1118,3427,755,10011,16616,3170,523,457,473,1141,700,768,9399,5758,2911
W (11036) main: 2,477, us,,477,128,131,1116,817,750,5149,6341,3159,359,129,131,1153,698,1014,4621,2822,2922
W (11036) main: 0,834, us,,834,104,116,1461,5357,1102,4514,12784,3601,683,117,118,1444,972,725,4938,3110,3236
W (11036) main: 1,174, us,,174,446,479,1123,8284,756,9332,17100,3139,161,451,464,1130,706,767,4628,2815,2918
W (12036) main: 2,186, us,,186,129,172,1115,1299,753,4631,3381,3232,167,130,131,1148,699,1043,4958,2818,3235
W (12036) main: 1,159, us,,159,108,116,1461,4715,1109,5062,3699,3729,157,119,120,1437,970,717,4619,3116,2940
W (12036) main: 0,544, us,,544,449,548,1125,3721,759,4608,8505,6626,509,438,466,1139,702,814,9385,2826,6301
W (13036) main: 2,187, us,,187,129,131,1114,1020,754,5005,3603,3154,189,223,218,1150,761,1037,5000,2822,2932
W (13036) main: 1,163, us,,163,108,112,1464,1327,1110,4523,5934,3598,164,118,122,1437,1041,711,10190,3107,3239
W (13036) main: 0,542, us,,542,449,478,1120,720,763,9498,10471,3127,519,560,592,1136,707,732,12703,2818,2910
W (14036) main: 2,187, us,,,,,,,,,,,,,,,,,,,
W (14036) main: 1,168, us,,,,,,,,,,,,,,,,,,,
W (14036) main: 0,551, us,,,,,,,,,,,,,,,,,,,
W (15036) main: 2,202, us,,,,,,,,,,,,,,,,,,,
W (15036) main: 1,167, us,,,,,,,,,,,,,,,,,,,
W (15036) main: 0,558, us,,,,,,,,,,,,,,,,,,,
W (16036) main: 2,238, us,,,,,,,,,,,,,,,,,,,
W (16036) main: 1,170, us,,,,,,,,,,,,,,,,,,,
W (16036) main: 0,598, us,,,,,,,,,,,,,,,,,,,
W (17036) main: 2,186, us,,,,,,,,,,,,,,,,,,,
W (17036) main: 1,163, us,,,,,,,,,,,,,,,,,,,
W (17036) main: 0,542, us,,,,,,,,,,,,,,,,,,,
W (18036) main: 2,284, us,,,,,,,,,,,,,,,,,,,
W (18036) main: 1,178, us,,,,,,,,,,,,,,,,,,,
W (18036) main: 0,654, us,,,,,,,,,,,,,,,,,,,
W (19036) main: 2,195, us,,,,,,,,,,,,,,,,,,,
W (19036) main: 1,168, us,,,,,,,,,,,,,,,,,,,
W (19036) main: 0,555, us,,,,,,,,,,,,,,,,,,,
W (20036) main: 2,187, us,,,,,,,,,,,,,,,,,,,
