W (4046) main: 2,12170, us,,12170,9429,11960,35209,34775,34613,128514,135715,134425
W (5056) main: 2,14378, us,,14378,8737,13186,34403,34013,36414,128019,137105,140179
W (6046) main: 2,12656, us,,12656,8753,14520,34393,33990,37071,129025,137624,136450
W (7056) main: 2,18137, us,,18137,8860,14685,35868,33938,34438,131167,136721,135086
W (8056) main: 2,14785, us,,14785,8735,15584,34805,34008,34035,131802,139334,135627
W (9056) main: 2,17216, us,,17216,8737,13913,35623,33725,33222,129311,142328,139875
W (10056) main: 2,14558, us,,14558,8767,12174,34509,34160,34132,127332,143461,136490
W (11056) main: 2,14989, us,,14989,8752,12575,34531,36560,34010,128721,139670,137130
W (12056) main: 2,13901, us,,13901,8695,15336,34909,34098,34170,129159,141128,138103
W (13056) main: 2,14706, us,,14706,8772,14016,34580,34243,36793,128847,141421,140094
W (14056) main: 2,14023, us,,,,,,,,,,
W (15046) main: 2,13253, us,Priemery:,14750,8824,13795,34883,34351,34890,129190,139451,137346
W (16056) main: 2,14751, us,,,,,,,,,,
W (17046) main: 2,13214, us,,,,,,,,,,
W (18056) main: 2,13946, us,,,,,,,,,,
W (19046) main: 2,12180, us,,,,,,,,,,
W (20056) main: 2,14052, us,,,,,,,,,,
W (21056) main: 2,13931, us,,,,,,,,,,
W (22046) main: 2,12333, us,,,,,,,,,,
W (23056) main: 2,14463, us,,,,,,,,,,
W (4047) main: 2,9429, us,,,,,,,,,,
W (5047) main: 2,8737, us,,,,,,,,,,
W (6047) main: 2,8753, us,,,,,,,,,,
W (7047) main: 2,8860, us,,,,,,,,,,
W (8047) main: 2,8735, us,,,,,,,,,,
W (9047) main: 2,8737, us,,,,,,,,,,
W (10047) main: 2,8767, us,,,,,,,,,,
W (11047) main: 2,8752, us,,,,,,,,,,
W (12047) main: 2,8695, us,,,,,,,,,,
W (13047) main: 2,8772, us,,,,,,,,,,
W (14047) main: 2,8809, us,,,,,,,,,,
W (15047) main: 2,8759, us,,,,,,,,,,
W (16047) main: 2,8786, us,,,,,,,,,,
W (17047) main: 2,8749, us,,,,,,,,,,
W (18047) main: 2,8745, us,,,,,,,,,,
W (4047) main: 2,11960, us,,,,,,,,,,
W (5047) main: 2,13186, us,,,,,,,,,,
W (6057) main: 2,14520, us,,,,,,,,,,
W (7057) main: 2,14685, us,,,,,,,,,,
W (8057) main: 2,15584, us,,,,,,,,,,
W (9057) main: 2,13913, us,,,,,,,,,,
W (10047) main: 2,12174, us,,,,,,,,,,
W (11047) main: 2,12575, us,,,,,,,,,,
W (12057) main: 2,15336, us,,,,,,,,,,
W (13057) main: 2,14016, us,,,,,,,,,,
W (14057) main: 2,13885, us,,,,,,,,,,
W (15057) main: 2,14189, us,,,,,,,,,,
W (16057) main: 2,14803, us,,,,,,,,,,
W (17047) main: 2,12033, us,,,,,,,,,,
W (18047) main: 2,13174, us,,,,,,,,,,
W (4091) main: 2,35209, us,,,,,,,,,,
W (5091) main: 2,34403, us,,,,,,,,,,
W (6091) main: 2,34393, us,,,,,,,,,,
W (7091) main: 2,35868, us,,,,,,,,,,
W (8091) main: 2,34805, us,,,,,,,,,,
W (9091) main: 2,35623, us,,,,,,,,,,
W (10091) main: 2,34509, us,,,,,,,,,,
W (11091) main: 2,34531, us,,,,,,,,,,
W (12091) main: 2,34909, us,,,,,,,,,,
W (13091) main: 2,34580, us,,,,,,,,,,
W (14091) main: 2,33586, us,,,,,,,,,,
W (15091) main: 2,34476, us,,,,,,,,,,
W (16091) main: 2,34074, us,,,,,,,,,,
W (17091) main: 2,34325, us,,,,,,,,,,
W (18091) main: 2,34685, us,,,,,,,,,,
W (19091) main: 2,34455, us,,,,,,,,,,
W (20091) main: 2,34402, us,,,,,,,,,,
W (21091) main: 2,34553, us,,,,,,,,,,
W (4091) main: 2,34775, us,,,,,,,,,,
W (5091) main: 2,34013, us,,,,,,,,,,
W (6091) main: 2,33990, us,,,,,,,,,,
W (7091) main: 2,33938, us,,,,,,,,,,
W (8091) main: 2,34008, us,,,,,,,,,,
W (9091) main: 2,33725, us,,,,,,,,,,
W (10091) main: 2,34160, us,,,,,,,,,,
W (11091) main: 2,36560, us,,,,,,,,,,
W (12091) main: 2,34098, us,,,,,,,,,,
W (13091) main: 2,34243, us,,,,,,,,,,
W (14091) main: 2,34137, us,,,,,,,,,,
W (15091) main: 2,34038, us,,,,,,,,,,
W (16091) main: 2,35537, us,,,,,,,,,,
W (17091) main: 2,34056, us,,,,,,,,,,
W (18091) main: 2,34046, us,,,,,,,,,,
W (4101) main: 2,34613, us,,,,,,,,,,
W (5101) main: 2,36414, us,,,,,,,,,,
W (6101) main: 2,37071, us,,,,,,,,,,
W (7101) main: 2,34438, us,,,,,,,,,,
W (8101) main: 2,34035, us,,,,,,,,,,
W (9101) main: 2,33222, us,,,,,,,,,,
